Site,Sex,Race,Age,Population,Diagnosis.Count,Diagnosis.Rate,Diagnosis.Lower,Diagnosis.Upper,Death.Count,Death.Rate,Death.Lower,Death.Upper
Eye and Orbit,Male,All,60-64,4183965,87,2.1000000000000002e-5,1.7e-5,2.6000000000000002e-5,40,9.56030941941436e-6,0,0
Eye and Orbit,Male,All,70-74,2964507,105,3.5e-5,2.9e-5,4.2999999999999995e-5,64,2.1588749832602856e-5,0,0
Eye and Orbit,Male,Black,50-54,740813,1,1e-6,0,8e-6,1,1.3498683203453502e-6,0,0
Eye and Orbit,Male,Black,60-64,390440,1,3e-6,0,1.4e-5,0,0,0,0
Eye and Orbit,Male,Black,70-74,228946,1,4e-6,0,2.4e-5,1,4.367842198597049e-6,0,0
Eye and Orbit,Female,All,50-54,7743791,64,8e-6,6e-6,1.1000000000000001e-5,20,2.582714332037112e-6,0,0
Eye and Orbit,Female,All,60-64,4593481,74,1.6e-5,1.3000000000000001e-5,2e-5,29,6.31329486287197e-6,0,0
Eye and Orbit,Female,All,70-74,3750637,71,1.8999999999999998e-5,1.5e-5,2.4e-5,38,1.0131612310122254e-5,0,0
Eye and Orbit,Female,Black,50-54,862821,0,0,0,4e-6,0,0,0,0
Eye and Orbit,Female,Black,60-64,482882,2,4e-6,1e-6,1.5e-5,0,0,0,0
Eye and Orbit,Female,Black,70-74,332818,0,0,0,1.1000000000000001e-5,0,0,0,0
Floor of Mouth,Male,All,50-54,7410465,181,2.4e-5,2.1000000000000002e-5,2.8e-5,104,1.4034207030193112e-5,0,0
Floor of Mouth,Male,All,60-64,4183965,193,4.599999999999999e-5,4e-5,5.3e-5,128,3.059299014212595e-5,0,0
Floor of Mouth,Male,All,70-74,2964507,129,4.4000000000000006e-5,3.6e-5,5.2000000000000004e-5,99,3.3395097397307546e-5,0,0
Floor of Mouth,Male,Black,50-54,740813,39,5.3e-5,3.7000000000000005e-5,7.2e-5,23,3.104697136794306e-5,0,6.910630078035887e-5
Floor of Mouth,Male,Black,60-64,390440,28,7.2e-5,4.8e-5,1.0400000000000001e-4,22,5.634668579039033e-5,0,1.3112090462042824e-4
Floor of Mouth,Male,Black,70-74,228946,11,4.8e-5,2.4e-5,8.599999999999999e-5,7,3.057489539017934e-5,0,0
Floor of Mouth,Female,All,50-54,7743791,37,5e-6,3e-6,7e-6,17,2.1953071822315453e-6,0,0
Floor of Mouth,Female,All,60-64,4593481,70,1.5e-5,1.2e-5,1.8999999999999998e-5,36,7.837193622875548e-6,0,0
Floor of Mouth,Female,All,70-74,3750637,69,1.8e-5,1.4e-5,2.2999999999999997e-5,50,1.3331068829108228e-5,0,0
Floor of Mouth,Female,Black,50-54,862821,4,5e-6,1e-6,1.2e-5,1,1.1589889444044592e-6,0,0
Floor of Mouth,Female,Black,60-64,482882,9,1.8999999999999998e-5,9e-6,3.5e-5,6,1.2425395852402864e-5,0,0
Floor of Mouth,Female,Black,70-74,332818,5,1.5e-5,5e-6,3.5e-5,4,1.201858072580209e-5,0,0
Gallbladder,Male,All,50-54,7410465,28,4e-6,3e-6,5e-6,22,2.9687745640793123e-6,0,0
Gallbladder,Male,All,60-64,4183965,66,1.6e-5,1.2e-5,2e-5,57,1.3623440922665463e-5,0,0
Gallbladder,Male,All,70-74,2964507,127,4.2999999999999995e-5,3.6e-5,5.1e-5,107,3.6093691126382905e-5,0,0
Gallbladder,Male,Black,50-54,740813,2,3e-6,0,1e-5,1,1.3498683203453502e-6,0,0
Gallbladder,Male,Black,60-64,390440,5,1.3000000000000001e-5,4e-6,3e-5,3,7.683638971416863e-6,0,0
Gallbladder,Male,Black,70-74,228946,13,5.7e-5,3e-5,9.7e-5,11,4.804626418456754e-5,0,0
Gallbladder,Female,All,50-54,7743791,96,1.2e-5,1e-5,1.5e-5,72,9.297771595333604e-6,0,0
Gallbladder,Female,All,60-64,4593481,168,3.7000000000000005e-5,3.1e-5,4.2999999999999995e-5,139,3.0260275377213926e-5,0,0
Gallbladder,Female,All,70-74,3750637,248,6.599999999999999e-5,5.8e-5,7.5e-5,212,5.652373183541889e-5,0,1.2708819781813064e-4
Gallbladder,Female,Black,50-54,862821,15,1.7e-5,1e-5,2.9e-5,7,8.112922610831215e-6,0,0
Gallbladder,Female,Black,60-64,482882,20,4.0999999999999994e-5,2.5e-5,6.4e-5,15,3.1063489631007164e-5,0,0
Gallbladder,Female,Black,70-74,332818,18,5.4000000000000005e-5,3.2e-5,8.5e-5,14,4.206503254030731e-5,0,0
Gum and Other Mouth,Male,All,50-54,7410465,203,2.7000000000000002e-5,2.4e-5,3.1e-5,120,1.6193315804068977e-5,0,0
Gum and Other Mouth,Male,All,60-64,4183965,262,6.3e-5,5.5e-5,7.099999999999999e-5,156,3.7285206735716e-5,0,0
Gum and Other Mouth,Male,All,70-74,2964507,251,8.5e-5,7.5e-5,9.6e-5,168,5.6670468310582504e-5,0,0
Gum and Other Mouth,Male,Black,50-54,740813,32,4.2999999999999995e-5,3e-5,6.1e-5,16,2.1597893125525603e-5,0,6.910630078035887e-5
Gum and Other Mouth,Male,Black,60-64,390440,37,9.5e-5,6.7e-5,1.3099999999999999e-4,24,6.146911177133491e-5,0,1.3112090462042824e-4
Gum and Other Mouth,Male,Black,70-74,228946,16,7e-5,4e-5,1.1300000000000001e-4,9,3.931057978737344e-5,0,0
Gum and Other Mouth,Female,All,50-54,7743791,115,1.5e-5,1.2e-5,1.8e-5,37,4.778021514268657e-6,0,0
Gum and Other Mouth,Female,All,60-64,4593481,142,3.1e-5,2.6000000000000002e-5,3.6e-5,75,1.632748671432406e-5,0,0
Gum and Other Mouth,Female,All,70-74,3750637,217,5.8e-5,5e-5,6.599999999999999e-5,142,3.7860235474667366e-5,0,0
Gum and Other Mouth,Female,Black,50-54,862821,28,3.2e-5,2.2000000000000003e-5,4.7000000000000004e-5,15,1.738483416606689e-5,0,0
Gum and Other Mouth,Female,Black,60-64,482882,14,2.9e-5,1.6e-5,4.9000000000000005e-5,8,1.6567194469870487e-5,0,0
Gum and Other Mouth,Female,Black,70-74,332818,15,4.5e-5,2.5e-5,7.400000000000001e-5,8,2.403716145160418e-5,0,0
Hypopharynx,Male,All,50-54,7410465,147,2e-5,1.7e-5,2.2999999999999997e-5,100,1.3494429836724146e-5,0,0
Hypopharynx,Male,All,60-64,4183965,183,4.4000000000000006e-5,3.7999999999999995e-5,5.1e-5,137,3.274405976149418e-5,0,0
Hypopharynx,Male,All,70-74,2964507,209,7.099999999999999e-5,6.1e-5,8.099999999999999e-5,170,5.734511674285134e-5,0,0
Hypopharynx,Male,Black,50-54,740813,38,5.1e-5,3.6e-5,7e-5,30,4.049604961036051e-5,0,6.910630078035887e-5
Hypopharynx,Male,Black,60-64,390440,36,9.199999999999999e-5,6.5e-5,1.28e-4,27,6.915275074275177e-5,0,1.3112090462042824e-4
Hypopharynx,Male,Black,70-74,228946,29,1.27e-4,8.5e-5,1.82e-4,21,9.172468617053804e-5,0,2.2361100870947734e-4
Hypopharynx,Female,All,50-54,7743791,48,6e-6,5e-6,8e-6,30,3.874071498055668e-6,0,0
Hypopharynx,Female,All,60-64,4593481,48,1e-5,8e-6,1.4e-5,32,6.966394331444933e-6,0,0
Hypopharynx,Female,All,70-74,3750637,58,1.5e-5,1.2e-5,2e-5,54,1.4397554335436887e-5,0,0
Hypopharynx,Female,Black,50-54,862821,12,1.4e-5,7e-6,2.4e-5,9,1.0430900499640135e-5,0,0
Hypopharynx,Female,Black,60-64,482882,5,1e-5,3e-6,2.4e-5,4,8.283597234935243e-6,0,0
Hypopharynx,Female,Black,70-74,332818,1,3e-6,0,1.7e-5,1,3.0046451814505223e-6,0,0
Intrahepatic Bile Duct,Male,All,50-54,7410465,46,6e-6,5e-6,8e-6,43,5.802604829791383e-6,0,0
Intrahepatic Bile Duct,Male,All,60-64,4183965,74,1.8e-5,1.4e-5,2.2000000000000003e-5,65,1.5535502806548333e-5,0,0
Intrahepatic Bile Duct,Male,All,70-74,2964507,132,4.5e-5,3.7000000000000005e-5,5.3e-5,120,4.047890593613036e-5,0,0
Intrahepatic Bile Duct,Male,Black,50-54,740813,3,4e-6,1e-6,1.2e-5,3,4.049604961036051e-6,0,0
Intrahepatic Bile Duct,Male,Black,60-64,390440,9,2.2999999999999997e-5,1.1000000000000001e-5,4.4000000000000006e-5,8,2.0489703923778303e-5,0,0
Intrahepatic Bile Duct,Male,Black,70-74,228946,8,3.5e-5,1.5e-5,6.900000000000001e-5,6,2.6207053191582295e-5,0,0
Intrahepatic Bile Duct,Female,All,50-54,7743791,33,4e-6,3e-6,6e-6,26,3.3575286316482456e-6,0,0
Intrahepatic Bile Duct,Female,All,60-64,4593481,60,1.3000000000000001e-5,1e-5,1.7e-5,52,1.1320390788598015e-5,0,0
Intrahepatic Bile Duct,Female,All,70-74,3750637,95,2.5e-5,2e-5,3.1e-5,87,2.3196059762648317e-5,0,0
Intrahepatic Bile Duct,Female,Black,50-54,862821,4,5e-6,1e-6,1.2e-5,3,3.476966833213378e-6,0,0
Intrahepatic Bile Duct,Female,Black,60-64,482882,4,8e-6,2e-6,2.1000000000000002e-5,3,6.212697926201432e-6,0,0
Intrahepatic Bile Duct,Female,Black,70-74,332818,7,2.1000000000000002e-5,8e-6,4.2999999999999995e-5,5,1.5023225907252613e-5,0,0
Kaposi Sarcoma,Male,All,50-54,7410465,99,1.3000000000000001e-5,1.1000000000000001e-5,1.6e-5,50,6.747214918362073e-6,0,0
Kaposi Sarcoma,Male,All,60-64,4183965,33,8e-6,5e-6,1.1000000000000001e-5,12,2.8680928258243077e-6,0,0
Kaposi Sarcoma,Male,All,70-74,2964507,49,1.7e-5,1.2e-5,2.2000000000000003e-5,21,7.083808538822813e-6,0,0
Kaposi Sarcoma,Male,Black,50-54,740813,21,2.8e-5,1.8e-5,4.2999999999999995e-5,16,2.1597893125525603e-5,0,6.910630078035887e-5
Kaposi Sarcoma,Male,Black,60-64,390440,7,1.8e-5,7e-6,3.7000000000000005e-5,5,1.2806064952361439e-5,0,0
Kaposi Sarcoma,Male,Black,70-74,228946,1,4e-6,0,2.4e-5,0,0,0,0
Kaposi Sarcoma,Female,All,50-54,7743791,7,1e-6,0,2e-6,4,5.165428664074224e-7,0,0
Kaposi Sarcoma,Female,All,60-64,4593481,4,1e-6,0,2e-6,1,2.1769982285765414e-7,0,0
Kaposi Sarcoma,Female,All,70-74,3750637,11,3e-6,1e-6,5e-6,4,1.0664855063286583e-6,0,0
Kaposi Sarcoma,Female,Black,50-54,862821,3,3e-6,1e-6,1e-5,2,2.3179778888089185e-6,0,0
Kaposi Sarcoma,Female,Black,60-64,482882,1,2e-6,0,1.2e-5,1,2.070899308733811e-6,0,0
Kaposi Sarcoma,Female,Black,70-74,332818,0,0,0,1.1000000000000001e-5,0,0,0,0
Kidney and Renal Pelvis,Male,All,50-54,7410465,1796,2.42e-4,2.31e-4,2.54e-4,734,9.904911500155523e-5,6.275399667902082e-5,1.2550799335804165e-4
Kidney and Renal Pelvis,Male,All,60-64,4183965,2269,5.420000000000001e-4,5.2e-4,5.65e-4,1049,2.507191145241416e-4,2.2229454405091822e-4,2.2229454405091822e-4
Kidney and Renal Pelvis,Male,All,70-74,2964507,2387,8.05e-4,7.729999999999999e-4,8.38e-4,1378,4.648327698332303e-4,4.706040120667619e-4,4.706040120667619e-4
Kidney and Renal Pelvis,Male,Black,50-54,740813,230,3.1e-4,2.72e-4,3.5299999999999996e-4,102,1.3768656867522573e-4,1.3821260156071774e-4,1.3821260156071774e-4
Kidney and Renal Pelvis,Male,Black,60-64,390440,235,6.02e-4,5.27e-4,6.84e-4,96,2.4587644708533963e-4,2.622418092408565e-4,2.622418092408565e-4
Kidney and Renal Pelvis,Male,Black,70-74,228946,201,8.78e-4,7.61e-4,0.001008,96,4.193128510653167e-4,4.472220174189547e-4,4.472220174189547e-4
Kidney and Renal Pelvis,Female,All,50-54,7743791,924,1.19e-4,1.12e-4,1.27e-4,287,3.706195066473256e-5,6.155404981875157e-5,6.155404981875157e-5
Kidney and Renal Pelvis,Female,All,60-64,4593481,1039,2.2600000000000002e-4,2.13e-4,2.4e-4,456,9.927111922309028e-5,1.0376916699992881e-4,1.0376916699992881e-4
Kidney and Renal Pelvis,Female,All,70-74,3750637,1424,3.8e-4,3.6e-4,4e-4,800,2.1329710126573165e-4,2.541763956362613e-4,2.541763956362613e-4
Kidney and Renal Pelvis,Female,Black,50-54,862821,130,1.5099999999999998e-4,1.26e-4,1.79e-4,48,5.563146933141405e-5,6.421318326744482e-5,6.421318326744482e-5
Kidney and Renal Pelvis,Female,Black,60-64,482882,123,2.55e-4,2.12e-4,3.0399999999999996e-4,54,1.1182856267162578e-4,1.1473710554545417e-4,1.1473710554545417e-4
Kidney and Renal Pelvis,Female,Black,70-74,332818,152,4.5700000000000005e-4,3.8700000000000003e-4,5.35e-4,82,2.4638090487894286e-4,1.6647081287670738e-4,3.3294162575341475e-4
Larynx,Male,All,50-54,7410465,717,9.7e-5,9e-5,1.0400000000000001e-4,350,4.723050442853451e-5,6.275399667902082e-5,6.275399667902082e-5
Larynx,Male,All,60-64,4183965,1098,2.6199999999999997e-4,2.47e-4,2.78e-4,600,1.434046412912154e-4,1.1114727202545911e-4,1.1114727202545911e-4
Larynx,Male,All,70-74,2964507,1046,3.5299999999999996e-4,3.3200000000000005e-4,3.75e-4,681,2.297177911875398e-4,1.5686800402225394e-4,3.137360080445079e-4
Larynx,Male,Black,50-54,740813,135,1.82e-4,1.53e-4,2.1600000000000002e-4,76,1.0258999234624663e-4,6.910630078035887e-5,1.3821260156071774e-4
