Age,Site,Population,Diagnosis.Count,Diagnosis.Rate,Diagnosis.Lower,Diagnosis.Upper,Death.Count,Death.Rate,Death.Lower,Death.Upper
50-54,C17.2-Ileum,7410465,60,8e-6,6e-6,1e-5,25,3.3736074591810366e-6,0,0
50-54,C17.3-Meckels diverticulum,7410465,1,0,0,1e-6,0,0,0,0
50-54,C17.8-Overlapping lesion of small intestine,7410465,4,1e-6,0,1e-6,3,4.048328951017244e-7,0,0
50-54,"C17.9-Small intestine, NOS",7410465,79,1.1000000000000001e-5,8e-6,1.3000000000000001e-5,41,5.5327162330569e-6,0,0
50-54,C18.0-Cecum,7410465,457,6.2e-5,5.6e-5,6.8e-5,226,3.049741143099657e-5,0,0
50-54,C18.1-Appendix,7410465,70,9e-6,7e-6,1.2e-5,33,4.453161846118968e-6,0,0
50-54,C18.2-Ascending colon,7410465,358,4.8e-5,4.2999999999999995e-5,5.4000000000000005e-5,170,2.2940530722431047e-5,0,0
50-54,C18.3-Hepatic flexure of colon,7410465,125,1.7e-5,1.4e-5,2e-5,60,8.096657902034489e-6,0,0
50-54,C18.4-Transverse colon,7410465,196,2.6000000000000002e-5,2.2999999999999997e-5,3e-5,86,1.1605209659582765e-5,0,0
50-54,C18.5-Splenic flexure of colon,7410465,100,1.3000000000000001e-5,1.1000000000000001e-5,1.6e-5,52,7.017103515096556e-6,0,0
50-54,C18.6-Descending colon,7410465,190,2.6000000000000002e-5,2.2000000000000003e-5,3e-5,83,1.1200376764481041e-5,0,0
50-54,C18.7-Sigmoid colon,7410465,1060,1.43e-4,1.35e-4,1.5199999999999998e-4,408,5.5057273733834514e-5,9.078287691798018e-5,9.078287691798018e-5
50-54,C18.8-Overlapping lesion of colon,7410465,35,5e-6,3e-6,7e-6,24,3.238663160813795e-6,0,0
50-54,"C18.9-Colon, NOS",7410465,103,1.4e-5,1.1000000000000001e-5,1.7e-5,73,9.850933780808626e-6,0,0
50-54,C19.9-Rectosigmoid junction,7410465,489,6.599999999999999e-5,6e-5,7.2e-5,217,2.9282912745691398e-5,0,0
50-54,"C20.9-Rectum, NOS",7410465,1336,1.8e-4,1.71e-4,1.9e-4,590,7.961713603667247e-5,9.078287691798018e-5,9.078287691798018e-5
50-54,"C21.0-Anus, NOS",7410465,78,1.1000000000000001e-5,8e-6,1.3000000000000001e-5,45,6.0724934265258655e-6,0,0
50-54,C21.1-Anal canal,7410465,57,8e-6,6e-6,1e-5,26,3.508551757548278e-6,0,0
50-54,C21.2-Cloacogenic zone,7410465,3,0,0,1e-6,1,1.3494429836724147e-7,0,0
50-54,"C21.8-Overlapping lesion of rectum, anus, and anal canal",7410465,27,4e-6,2e-6,5e-6,14,1.8892201771413805e-6,0,0
50-54,C22.0-Liver,7410465,1131,1.53e-4,1.44e-4,1.6199999999999998e-4,952,1.2846697204561388e-4,9.078287691798018e-5,1.8156575383596036e-4
50-54,C22.1-Intrahepatic bile duct,7410465,46,6e-6,5e-6,8e-6,44,5.9375491281586245e-6,0,0
50-54,C23.9-Gallbladder,7410465,28,4e-6,3e-6,5e-6,23,3.1037188624465537e-6,0,0
50-54,C24.0-Extrahepatic bile duct,7410465,49,7e-6,5e-6,9e-6,40,5.397771934689659e-6,0,0
50-54,C24.1-Ampulla of Vater,7410465,45,6e-6,4e-6,8e-6,31,4.183273249384485e-6,0,0
50-54,C24.8-Overlapping lesion of biliary tract,7410465,2,0,0,1e-6,2,2.6988859673448295e-7,0,0
50-54,"C24.9-Biliary tract, NOS",7410465,6,1e-6,0,2e-6,6,8.096657902034488e-7,0,0
50-54,C25.0-Head of pancreas,7410465,462,6.2e-5,5.7e-5,6.8e-5,396,5.343794215342762e-5,9.078287691798018e-5,9.078287691798018e-5
50-54,C25.1-Body of pancreas,7410465,80,1.1000000000000001e-5,9e-6,1.3000000000000001e-5,69,9.31115658733966e-6,0,0
50-54,C25.2-Tail of pancreas,7410465,133,1.8e-5,1.5e-5,2.1000000000000002e-5,122,1.6463204400803457e-5,0,0
50-54,C25.3-Pancreatic duct,7410465,10,1e-6,1e-6,2e-6,8,1.0795543869379318e-6,0,0
50-54,C25.4-Islets of Langerhans,7410465,5,1e-6,0,2e-6,3,4.048328951017244e-7,0,0
50-54,C25.7-Other specified parts of pancreas,7410465,6,1e-6,0,2e-6,5,6.747214918362073e-7,0,0
50-54,C25.8-Overlapping lesion of pancreas,7410465,72,1e-5,8e-6,1.2e-5,65,8.771379393870694e-6,0,0
50-54,"C25.9-Pancreas, NOS",7410465,189,2.6000000000000002e-5,2.2000000000000003e-5,2.9e-5,170,2.2940530722431047e-5,0,0
50-54,"C26.0-Intestinal tract, NOS",7410465,3,0,0,1e-6,2,2.6988859673448295e-7,0,0
50-54,C26.8-Overlapping lesion of digestive system,7410465,2,0,0,1e-6,2,2.6988859673448295e-7,0,0
50-54,"C26.9-Gastrointestinal tract, NOS",7410465,40,5e-6,4e-6,7e-6,36,4.857994741220693e-6,0,0
50-54,C30.0-Nasal cavity,7410465,48,6e-6,5e-6,9e-6,20,2.6988859673448294e-6,0,0
50-54,C30.1-Middle ear,7410465,1,0,0,1e-6,1,1.3494429836724147e-7,0,0
50-54,C31.0-Maxillary sinus,7410465,43,6e-6,4e-6,8e-6,26,3.508551757548278e-6,0,0
50-54,C31.1-Ethmoid sinus,7410465,13,2e-6,1e-6,3e-6,12,1.6193315804068976e-6,0,0
50-54,C31.2-Frontal sinus,7410465,2,0,0,1e-6,1,1.3494429836724147e-7,0,0
50-54,C31.3-Sphenoid sinus,7410465,7,1e-6,0,2e-6,4,5.397771934689659e-7,0,0
50-54,C31.8-Overlapping lesion of accessory sinuses,7410465,2,0,0,1e-6,1,1.3494429836724147e-7,0,0
50-54,"C31.9-Accessory sinus, NOS",7410465,6,1e-6,0,2e-6,4,5.397771934689659e-7,0,0
50-54,C32.0-Glottis,7410465,371,5e-5,4.5e-5,5.5e-5,164,2.21308649322276e-5,0,0
50-54,C32.1-Supraglottis,7410465,245,3.2999999999999996e-5,2.9e-5,3.7000000000000005e-5,180,2.4289973706103462e-5,0,0
50-54,C32.2-Subglottis,7410465,14,2e-6,1e-6,3e-6,8,1.0795543869379318e-6,0,0
50-54,C32.3-Laryngeal cartilage,7410465,5,1e-6,0,2e-6,1,1.3494429836724147e-7,0,0
50-54,C32.8-Overlapping lesion of larynx,7410465,30,4e-6,3e-6,6e-6,25,3.3736074591810366e-6,0,0
50-54,"C32.9-Larynx, NOS",7410465,55,7e-6,6e-6,1e-5,37,4.992939039587934e-6,0,0
50-54,C33.9-Trachea,7410465,8,1e-6,0,2e-6,4,5.397771934689659e-7,0,0
50-54,C34.0-Main bronchus,7410465,354,4.8e-5,4.2999999999999995e-5,5.3e-5,301,4.061823380853968e-5,0,9.078287691798018e-5
50-54,"C34.1-Upper lobe, lung",7410465,2467,3.3299999999999996e-4,3.2e-4,3.46e-4,1982,2.6745959936387255e-4,2.7234863075394056e-4,2.7234863075394056e-4
50-54,"C34.2-Middle lobe, lung",7410465,181,2.4e-5,2.1000000000000002e-5,2.8e-5,143,1.929703466651553e-5,0,0
50-54,"C34.3-Lower lobe, lung",7410465,801,1.0800000000000001e-4,1.01e-4,1.16e-4,652,8.798368253544143e-5,9.078287691798018e-5,9.078287691798018e-5
50-54,C34.8-Overlapping lesion of lung,7410465,99,1.3000000000000001e-5,1.1000000000000001e-5,1.6e-5,87,1.1740153957950007e-5,0,0
50-54,"C34.9-Lung, NOS",7410465,900,1.21e-4,1.14e-4,1.3e-4,800,1.0795543869379317e-4,9.078287691798018e-5,9.078287691798018e-5
50-54,C37.9-Thymus,7410465,34,5e-6,3e-6,6e-6,23,3.1037188624465537e-6,0,0
50-54,C38.0-Heart,7410465,4,1e-6,0,1e-6,4,5.397771934689659e-7,0,0
50-54,C38.1-Anterior mediastinum,7410465,4,1e-6,0,1e-6,1,1.3494429836724147e-7,0,0
50-54,C38.2-Posterior mediastinum,7410465,3,0,0,1e-6,2,2.6988859673448295e-7,0,0
50-54,"C38.3-Mediastinum, NOS",7410465,6,1e-6,0,2e-6,4,5.397771934689659e-7,0,0
50-54,"C38.4-Pleura, NOS",7410465,64,9e-6,7e-6,1.1000000000000001e-5,55,7.42193641019828e-6,0,0
50-54,"C38.8-Overlapping lesion of heart, mediastinum and pleura",7410465,0,0,0,0,0,0,0,0
50-54,"C39.0-Upper respiratory tract, NOS",7410465,0,0,0,0,0,0,0,0
50-54,C39.8-Overlapping lesion of respiratory system,7410465,0,0,0,0,0,0,0,0
50-54,C39.9-Ill-defined sites within respiratory system,7410465,2,0,0,1e-6,2,2.6988859673448295e-7,0,0
50-54,"C40.0-Long bones: upper limb, scapula, and associated joints",7410465,9,1e-6,1e-6,2e-6,7,9.446100885706902e-7,0,0
50-54,C40.1-Short bones of upper limb and associated joints,7410465,0,0,0,0,0,0,0,0
50-54,C40.2-Long bones of lower limb and associated joints,7410465,20,3e-6,2e-6,4e-6,10,1.3494429836724147e-6,0,0
50-54,C40.3-Short bones of lower limb and associated joints,7410465,0,0,0,0,0,0,0,0
50-54,"C40.8-Overlap of bones, joints, and art. cartilage of limbs",7410465,0,0,0,0,0,0,0,0
50-54,"C40.9-Bone of limb, NOS",7410465,0,0,0,0,0,0,0,0
50-54,C41.0-Bones of skull and face and associated joints,7410465,15,2e-6,1e-6,3e-6,6,8.096657902034488e-7,0,0
50-54,C41.1-Mandible,7410465,6,1e-6,0,2e-6,2,2.6988859673448295e-7,0,0
50-54,C41.2-Vertebral column,7410465,27,4e-6,2e-6,5e-6,15,2.024164475508622e-6,0,0
50-54,"C41.3-Rib, sternum, clavicle and associated joints",7410465,17,2e-6,1e-6,4e-6,10,1.3494429836724147e-6,0,0
50-54,"C41.4-Pelvic bones, sacrum, coccyx and associated joints",7410465,17,2e-6,1e-6,4e-6,10,1.3494429836724147e-6,0,0
50-54,"C41.8-Overlap bones, joints, and art. cartilage",7410465,0,0,0,0,0,0,0,0
50-54,"C41.9-Bone, NOS",7410465,2,0,0,1e-6,1,1.3494429836724147e-7,0,0
50-54,C42.0-Blood,7410465,34,5e-6,3e-6,6e-6,14,1.8892201771413805e-6,0,0
50-54,C42.1-Bone marrow,7410465,1534,2.07e-4,1.97e-4,2.18e-4,955,1.2887180494071558e-4,9.078287691798018e-5,1.8156575383596036e-4
50-54,C42.2-Spleen,7410465,38,5e-6,4e-6,7e-6,17,2.294053072243105e-6,0,0
50-54,"C42.3-Reticuloendothelial system, NOS",7410465,1,0,0,1e-6,0,0,0,0
50-54,"C42.4-Hematopoietic system, NOS",7410465,1,0,0,1e-6,0,0,0,0
50-54,"C44.0-Skin of lip, NOS",7410465,9,1e-6,1e-6,2e-6,1,1.3494429836724147e-7,0,0
50-54,C44.1-Eyelid,7410465,11,1e-6,1e-6,3e-6,1,1.3494429836724147e-7,0,0
50-54,C44.2-External ear,7410465,78,1.1000000000000001e-5,8e-6,1.3000000000000001e-5,13,1.754275878774139e-6,0,0
50-54,C44.3-Skin other/unspec parts of face,7410465,215,2.9e-5,2.5e-5,3.2999999999999996e-5,47,6.3423820232603484e-6,0,0
50-54,C44.4-Skin of scalp and neck,7410465,223,3e-5,2.6000000000000002e-5,3.4e-5,74,9.985878079175868e-6,0,0
50-54,C44.5-Skin of trunk,7410465,1222,1.65e-4,1.56e-4,1.7399999999999997e-4,270,3.64349605591552e-5,0,0
50-54,C44.6-Skin of upper limb and shoulder,7410465,607,8.199999999999999e-5,7.599999999999999e-5,8.900000000000001e-5,125,1.6868037295905183e-5,0,0
50-54,C44.7-Skin of lower limb and hip,7410465,326,4.4000000000000006e-5,3.9e-5,4.9000000000000005e-5,99,1.3359485538356905e-5,0,0
50-54,C44.8-Overlapping lesion of skin,7410465,9,1e-6,1e-6,2e-6,5,6.747214918362073e-7,0,0
50-54,"C44.9-Skin, NOS",7410465,200,2.7000000000000002e-5,2.2999999999999997e-5,3.1e-5,124,1.673309299753794e-5,0,0
50-54,"C47.0-Periph nerves & autonomic nerv sys: head, face, neck",7410465,2,0,0,1e-6,1,1.3494429836724147e-7,0,0
50-54,"C47.1-Periph nerves & autonomic nerv sys: upr limb, shoulder",7410465,0,0,0,0,0,0,0,0
50-54,"C47.2-Periph nerves & autonomic nerv sys: lower limb, hip",7410465,1,0,0,1e-6,0,0,0,0
50-54,C47.3-Periph nerves & autonomic nerv sys: thorax,7410465,0,0,0,0,0,0,0,0
50-54,C47.4-Periph nerves & autonomic nerv sys: abdomen,7410465,1,0,0,1e-6,1,1.3494429836724147e-7,0,0
50-54,C47.5-Periph nerves & autonomic nerv sys: pelvis,7410465,2,0,0,1e-6,2,2.6988859673448295e-7,0,0
50-54,"C47.6-Periph nerves & autonomic nerv sys: trunk, NOS",7410465,1,0,0,1e-6,0,0,0,0
50-54,C47.8-Overlap of peripheral nerves and autonomic nerv sys,7410465,0,0,0,0,0,0,0,0
50-54,"C47.9-Autonomic nervous system, NOS",7410465,0,0,0,0,0,0,0,0
50-54,C48.0-Retroperitoneum,7410465,39,5e-6,4e-6,7e-6,28,3.778440354282761e-6,0,0
50-54,C48.1-Specified parts of peritoneum,7410465,9,1e-6,1e-6,2e-6,4,5.397771934689659e-7,0,0
50-54,"C48.2-Peritoneum, NOS",7410465,6,1e-6,0,2e-6,4,5.397771934689659e-7,0,0
50-54,C48.8-Overlapping lesion of retroperitoneum & peritoneum,7410465,1,0,0,1e-6,1,1.3494429836724147e-7,0,0
50-54,"C49.0-Conn, subcutaneous, other soft tis: head, face, neck",7410465,30,4e-6,3e-6,6e-6,15,2.024164475508622e-6,0,0
50-54,"C49.1-Conn, subcutaneous, other soft tis: upr limb, shoulder",7410465,41,6e-6,4e-6,8e-6,10,1.3494429836724147e-6,0,0
50-54,"C49.2-Conn, subcutaneous, other soft tis: lower limb, hip",7410465,132,1.8e-5,1.5e-5,2.1000000000000002e-5,50,6.747214918362073e-6,0,0
50-54,"C49.3-Conn, subcutaneous, other soft tis: thorax",7410465,27,4e-6,2e-6,5e-6,13,1.754275878774139e-6,0,0
50-54,"C49.4-Conn, subcutaneous, other soft tis: abdomen",7410465,29,4e-6,3e-6,6e-6,18,2.4289973706103465e-6,0,0
50-54,"C49.5-Conn, subcutaneous, other soft tis: pelvis",7410465,34,5e-6,3e-6,6e-6,18,2.4289973706103465e-6,0,0
50-54,"C49.6-Conn, subcutaneous, other soft tis: trunk, NOS",7410465,15,2e-6,1e-6,3e-6,6,8.096657902034488e-7,0,0
50-54,"C49.8-Overlap conn, subcutaneous, and other soft tissues",7410465,2,0,0,1e-6,1,1.3494429836724147e-7,0,0
50-54,"C49.9-Conn, subcutaneous and other soft tissues, NOS",7410465,6,1e-6,0,2e-6,6,8.096657902034488e-7,0,0
50-54,C50.0-Nipple,7410465,12,2e-6,1e-6,3e-6,7,9.446100885706902e-7,0,0
50-54,C50.1-Central portion of breast,7410465,30,4e-6,3e-6,6e-6,10,1.3494429836724147e-6,0,0
50-54,C50.2-Upper-inner quadrant of breast,7410465,2,0,0,1e-6,0,0,0,0
50-54,C50.3-Lower-inner quadrant of breast,7410465,2,0,0,1e-6,1,1.3494429836724147e-7,0,0
50-54,C50.4-Upper-outer quadrant of breast,7410465,12,2e-6,1e-6,3e-6,3,4.048328951017244e-7,0,0
50-54,C50.5-Lower-outer quadrant of breast,7410465,3,0,0,1e-6,1,1.3494429836724147e-7,0,0
50-54,C50.6-Axillary tail of breast,7410465,0,0,0,0,0,0,0,0
50-54,C50.8-Overlapping lesion of breast,7410465,12,2e-6,1e-6,3e-6,4,5.397771934689659e-7,0,0
50-54,"C50.9-Breast, NOS",7410465,20,3e-6,2e-6,4e-6,10,1.3494429836724147e-6,0,0
50-54,C51.0-Labium majus,7410465,0,0,0,0,0,0,0,0
50-54,C51.1-Labium minus,7410465,0,0,0,0,0,0,0,0
50-54,C51.2-Clitoris,7410465,0,0,0,0,0,0,0,0
50-54,C51.8-Overlapping lesion of vulva,7410465,0,0,0,0,0,0,0,0
50-54,"C51.9-Vulva, NOS",7410465,0,0,0,0,0,0,0,0
50-54,"C52.9-Vagina, NOS",7410465,0,0,0,0,0,0,0,0
50-54,C53.0-Endocervix,7410465,0,0,0,0,0,0,0,0
50-54,C53.1-Exocervix,7410465,0,0,0,0,0,0,0,0
50-54,C53.8-Overlapping lesion of cervix uteri,7410465,0,0,0,0,0,0,0,0
50-54,C53.9-Cervix uteri,7410465,0,0,0,0,0,0,0,0
50-54,C54.0-Isthmus uteri,7410465,0,0,0,0,0,0,0,0
50-54,C54.1-Endometrium,7410465,0,0,0,0,0,0,0,0
50-54,C54.2-Myometrium,7410465,0,0,0,0,0,0,0,0
50-54,C54.3-Fundus uteri,7410465,0,0,0,0,0,0,0,0
50-54,C54.8-Overlapping lesion of corpus uteri,7410465,0,0,0,0,0,0,0,0
50-54,C54.9-Corpus uteri,7410465,0,0,0,0,0,0,0,0
50-54,"C55.9-Uterus, NOS",7410465,0,0,0,0,0,0,0,0
50-54,C56.9-Ovary,7410465,0,0,0,0,0,0,0,0
50-54,C57.0-Fallopian tube,7410465,0,0,0,0,0,0,0,0
50-54,C57.1-Broad ligament,7410465,0,0,0,0,0,0,0,0
50-54,C57.2-Round ligament,7410465,0,0,0,0,0,0,0,0
50-54,C57.3-Parametrium,7410465,0,0,0,0,0,0,0,0
50-54,C57.4-Uterine adnexa,7410465,0,0,0,0,0,0,0,0
50-54,C57.7-Other specified parts of female genital organs,7410465,0,0,0,0,0,0,0,0
50-54,C57.8-Overlapping lesion of female genital organs,7410465,0,0,0,0,0,0,0,0
50-54,"C57.9-Female genital tract, NOS",7410465,0,0,0,0,0,0,0,0
50-54,C58.9-Placenta,7410465,0,0,0,0,0,0,0,0
50-54,C60.0-Prepuce,7410465,4,1e-6,0,1e-6,2,2.6988859673448295e-7,0,0
