Site,Sex,Race,Age,Population,Diagnosis.Count,Diagnosis.Rate,Diagnosis.Lower,Diagnosis.Upper,Death.Count,Death.Rate,Death.Lower,Death.Upper
Cervix Uteri,Female,All,70-74,750127.4,523,6.950000000000001e-4,6.4e-4,7.599999999999999e-4,310,4.132631337023551e-4,6.354409890906532e-4,6.354409890906532e-4
Cervix Uteri,Female,Black,50-54,172564.2,151,8.749999999999999e-4,7.4e-4,0.001025,63,3.6508151748740466e-4,3.210659163372241e-4,3.210659163372241e-4
Cervix Uteri,Female,Black,60-64,96576.4,133,0.0013750000000000001,0.0011550000000000002,0.0016300000000000002,55,5.69497309901798e-4,5.73685527727271e-4,5.73685527727271e-4
Cervix Uteri,Female,Black,70-74,66563.6,90,0.0013499999999999999,0.0010849999999999998,0.00166,54,8.112541989916411e-4,8.32354064383537e-4,8.32354064383537e-4
Colon and Rectum,Male,All,50-54,1482093,4482,0.003025,0.002935,0.0031149999999999997,1792,0.0012091009133704835,0.0012550799335804164,0.0012550799335804164
Colon and Rectum,Male,All,60-64,836793,6600,0.007885,0.007699999999999999,0.00808,3116,0.003723740518861893,0.0033344181607637725,0.0038901545208910684
Colon and Rectum,Male,All,70-74,592901.4,9139,0.015415000000000002,0.015099999999999999,0.015735,5429,0.009156665846968821,0.008627740221223968,0.009412080241335235
Colon and Rectum,Male,Black,50-54,148162.6,600,0.00405,0.0037299999999999994,0.004385,267,0.0018020742076610425,0.001727657519508972,0.002073189023410766
Colon and Rectum,Male,Black,60-64,78088,802,0.01027,0.009569999999999999,0.011005,400,0.0051224259809445755,0.0045892316617149875,0.00590044070791927
Colon and Rectum,Male,Black,70-74,45789.2,763,0.016665,0.015500000000000002,0.01789,453,0.009893162579822317,0.008944440348379096,0.011180550435473868
Colon and Rectum,Female,All,50-54,1548758.2,3621,0.0023399999999999996,0.0022600000000000007,0.0024149999999999996,1338,8.63917944066414e-4,9.233107472812735e-4,9.233107472812735e-4
Colon and Rectum,Female,All,60-64,918696.2,4766,0.00519,0.00504,0.005335,2037,0.0022172726958052075,0.0020753833399985763,0.0020753833399985763
Colon and Rectum,Female,All,70-74,750127.4,7812,0.010415,0.010185,0.01065,4310,0.005745690665345646,0.0057189689018158785,0.0057189689018158785
Colon and Rectum,Female,Black,50-54,172564.2,609,0.0035299999999999997,0.0032549999999999996,0.0038200000000000005,235,0.0013618120096752396,0.0012842636653488963,0.0016053295816861202
Colon and Rectum,Female,Black,60-64,96576.4,713,0.007384999999999999,0.006850000000000001,0.007945,325,0.0033652113766924428,0.0028684276386363545,0.004015798694090896
Colon and Rectum,Female,Black,70-74,66563.6,821,0.012334999999999999,0.011504999999999998,0.013205000000000001,460,0.006910683917336201,0.006658832515068296,0.007491186579451832
Corpus Uteri,Male,All,50-54,1482093,0,0,0,0,0,0,0,0
Corpus Uteri,Male,All,60-64,836793,0,0,0,4.9999999999999996e-6,0,0,0,0
Corpus Uteri,Male,All,70-74,592901.4,0,0,0,5e-6,0,0,0,0
Corpus Uteri,Male,Black,50-54,148162.6,0,0,0,2.4999999999999998e-5,0,0,0,0
Corpus Uteri,Male,Black,60-64,78088,0,0,0,4.5e-5,0,0,0,0
Corpus Uteri,Male,Black,70-74,45789.2,0,0,0,8e-5,0,0,0,0
Corpus Uteri,Female,All,50-54,1548758.2,3186,0.0020550000000000004,0.0019850000000000002,0.0021300000000000004,569,3.673911137322792e-4,3.0777024909375784e-4,3.0777024909375784e-4
Corpus Uteri,Female,All,60-64,918696.2,3727,0.004055,0.0039299999999999995,0.00419,990,0.001077614123145388,0.0010376916699992881,0.0010376916699992881
Corpus Uteri,Female,All,70-74,750127.4,3232,0.0043100000000000005,0.0041600000000000005,0.00446,1471,0.0019610002247618203,0.0019063229672719594,0.0019063229672719594
Corpus Uteri,Female,Black,50-54,172564.2,193,0.00112,9.649999999999999e-4,0.00129,64,3.7087646220942695e-4,3.210659163372241e-4,3.210659163372241e-4
Corpus Uteri,Female,Black,60-64,96576.4,341,0.0035299999999999997,0.003165,0.0039250000000000005,148,0.00153246548846302,0.001147371055454542,0.0017210565831818126
Corpus Uteri,Female,Black,70-74,66563.6,284,0.004265,0.0037849999999999997,0.004795000000000001,165,0.002478832274696681,0.0024970621931506105,0.0024970621931506105
Esophagus,Male,All,50-54,1482093,731,4.95e-4,4.6e-4,5.3e-4,571,3.8526597183847437e-4,3.137699833951041e-4,3.137699833951041e-4
Esophagus,Male,All,60-64,836793,997,0.00119,0.0011200000000000001,0.00127,798,9.536408645865823e-4,0.001111472720254591,0.001111472720254591
Esophagus,Male,All,70-74,592901.4,1199,0.00202,0.0019100000000000002,0.00214,1026,0.0017304732287695727,0.0015686800402225395,0.0015686800402225395
Esophagus,Male,Black,50-54,148162.6,145,9.8e-4,8.25e-4,0.00115,109,7.356782345882158e-4,6.910630078035888e-4,0.001036594511705383
Esophagus,Male,Black,60-64,78088,175,0.0022400000000000002,0.0019199999999999998,0.0026,134,0.0017160127036164327,0.0013112090462042824,0.001966813569306423
Esophagus,Male,Black,70-74,45789.2,141,0.00308,0.00259,0.0036300000000000004,116,0.0025333484751862887,0.002236110087094774,0.00335416513064216
Esophagus,Female,All,50-54,1548758.2,116,7.5e-5,5.9999999999999995e-5,9e-5,89,5.7465393887825744e-5,0,0
Esophagus,Female,All,60-64,918696.2,251,2.75e-4,2.4e-4,3.1e-4,196,2.1334582640050107e-4,0,0
Esophagus,Female,All,70-74,750127.4,402,5.35e-4,4.8499999999999997e-4,5.9e-4,342,4.559225539555014e-4,6.354409890906532e-4,6.354409890906532e-4
Esophagus,Female,Black,50-54,172564.2,35,2.0499999999999994e-4,1.4e-4,2.8e-4,27,1.56463507494602e-4,0,3.210659163372241e-4
Esophagus,Female,Black,60-64,96576.4,56,5.800000000000001e-4,4.4000000000000007e-4,7.55e-4,45,4.659523444651074e-4,5.73685527727271e-4,5.73685527727271e-4
Esophagus,Female,Black,70-74,66563.6,63,9.449999999999999e-4,7.25e-4,0.00121,49,7.36138069455378e-4,8.32354064383537e-4,8.32354064383537e-4
Eye and Orbit,Male,All,50-54,1482093,102,7e-5,5.500000000000001e-5,8.5e-5,37,2.496469519793967e-5,0,0
Eye and Orbit,Male,All,60-64,836793,87,1.05e-4,8.499999999999999e-5,1.3e-4,40,4.780154709707179e-5,0,0
Eye and Orbit,Male,All,70-74,592901.4,105,1.75e-4,1.4499999999999997e-4,2.15e-4,64,1.0794374916301428e-4,0,0
Eye and Orbit,Male,Black,50-54,148162.6,1,5e-6,0,4e-5,1,6.749341601726751e-6,0,0
Eye and Orbit,Male,Black,60-64,78088,1,1.4999999999999999e-5,0,7.000000000000001e-5,0,0,0,0
Eye and Orbit,Male,Black,70-74,45789.2,1,2e-5,0,1.2000000000000002e-4,1,2.183921099298525e-5,0,0
Eye and Orbit,Female,All,50-54,1548758.2,64,4e-5,2.9999999999999997e-5,5.5000000000000016e-5,20,1.291357166018556e-5,0,0
Eye and Orbit,Female,All,60-64,918696.2,74,8.000000000000002e-5,6.5e-5,1e-4,29,3.156647431435985e-5,0,0
Eye and Orbit,Female,All,70-74,750127.4,71,9.499999999999999e-5,7.5e-5,1.1999999999999998e-4,38,5.065806155061127e-5,0,0
Eye and Orbit,Female,Black,50-54,172564.2,0,0,0,2e-5,0,0,0,0
Eye and Orbit,Female,Black,60-64,96576.4,2,2e-5,5e-6,7.500000000000001e-5,0,0,0,0
Eye and Orbit,Female,Black,70-74,66563.6,0,0,0,5.5e-5,0,0,0,0
Floor of Mouth,Male,All,50-54,1482093,181,1.1999999999999999e-4,1.05e-4,1.4e-4,104,7.017103515096556e-5,0,0
Floor of Mouth,Male,All,60-64,836793,193,2.3e-4,1.9999999999999998e-4,2.65e-4,128,1.5296495071062975e-4,0,0
Floor of Mouth,Male,All,70-74,592901.4,129,2.2e-4,1.8e-4,2.6000000000000003e-4,99,1.6697548698653772e-4,0,0
Floor of Mouth,Male,Black,50-54,148162.6,39,2.65e-4,1.85e-4,3.6e-4,23,1.5523485683971528e-4,0,3.455315039017944e-4
Floor of Mouth,Male,Black,60-64,78088,28,3.6e-4,2.3999999999999998e-4,5.2e-4,22,2.8173342895195164e-4,0,6.556045231021412e-4
Floor of Mouth,Male,Black,70-74,45789.2,11,2.4000000000000003e-4,1.2000000000000002e-4,4.3000000000000004e-4,7,1.5287447695089672e-4,0,0
Floor of Mouth,Female,All,50-54,1548758.2,37,2.5e-5,1.4999999999999999e-5,3.5e-5,17,1.0976535911157727e-5,0,0
Floor of Mouth,Female,All,60-64,918696.2,70,7.500000000000001e-5,6e-5,9.5e-5,36,3.9185968114377745e-5,0,0
Floor of Mouth,Female,All,70-74,750127.4,69,8.999999999999999e-5,7e-5,1.15e-4,50,6.665534414554114e-5,0,0
Floor of Mouth,Female,Black,50-54,172564.2,4,2.4999999999999998e-5,5e-6,5.9999999999999995e-5,1,5.794944722022296e-6,0,0
Floor of Mouth,Female,Black,60-64,96576.4,9,9.499999999999999e-5,4.5e-5,1.7500000000000003e-4,6,6.212697926201433e-5,0,0
Floor of Mouth,Female,Black,70-74,66563.6,5,7.5e-5,2.4999999999999998e-5,1.75e-4,4,6.0092903629010445e-5,0,0
Gallbladder,Male,All,50-54,1482093,28,2e-5,1.4999999999999999e-5,2.5e-5,22,1.484387282039656e-5,0,0
Gallbladder,Male,All,60-64,836793,66,7.999999999999999e-5,6e-5,9.999999999999999e-5,57,6.811720461332731e-5,0,0
Gallbladder,Male,All,70-74,592901.4,127,2.15e-4,1.8e-4,2.5499999999999996e-4,107,1.804684556319145e-4,0,0
Gallbladder,Male,Black,50-54,148162.6,2,1.5e-5,0,4.9999999999999996e-5,1,6.749341601726751e-6,0,0
Gallbladder,Male,Black,60-64,78088,5,6.5e-5,2e-5,1.5000000000000001e-4,3,3.8418194857084316e-5,0,0
Gallbladder,Male,Black,70-74,45789.2,13,2.85e-4,1.5000000000000001e-4,4.85e-4,11,2.402313209228377e-4,0,0
Gallbladder,Female,All,50-54,1548758.2,96,5.9999999999999995e-5,5e-5,7.5e-5,72,4.6488857976668017e-05,0,0
Gallbladder,Female,All,60-64,918696.2,168,1.8500000000000002e-4,1.55e-4,2.1500000000000002e-4,139,1.5130137688606964e-4,0,0
Gallbladder,Female,All,70-74,750127.4,248,3.2999999999999994e-4,2.8999999999999995e-4,3.75e-4,212,2.826186591770944e-4,0,6.354409890906532e-4
Gallbladder,Female,Black,50-54,172564.2,15,8.499999999999999e-5,4.9999999999999996e-5,1.4499999999999997e-4,7,4.056461305415607e-5,0,0
Gallbladder,Female,Black,60-64,96576.4,20,2.05e-4,1.2500000000000003e-4,3.2e-4,15,1.5531744815503582e-4,0,0
Gallbladder,Female,Black,70-74,66563.6,18,2.7e-4,1.5999999999999999e-4,4.25e-4,14,2.1032516270153655e-4,0,0
Gum and Other Mouth,Male,All,50-54,1482093,203,1.35e-4,1.1999999999999999e-4,1.55e-4,120,8.096657902034488e-5,0,0
Gum and Other Mouth,Male,All,60-64,836793,262,3.1499999999999996e-4,2.75e-4,3.55e-4,156,1.8642603367858e-4,0,0
Gum and Other Mouth,Male,All,70-74,592901.4,251,4.25e-4,3.7499999999999995e-4,4.7999999999999996e-4,168,2.833523415529125e-4,0,0
Gum and Other Mouth,Male,Black,50-54,148162.6,32,2.1499999999999997e-4,1.5e-4,3.0499999999999993e-4,16,1.0798946562762802e-4,0,3.455315039017944e-4
Gum and Other Mouth,Male,Black,60-64,78088,37,4.75e-4,3.3499999999999996e-4,6.55e-4,24,3.073455588566745e-4,0,6.556045231021412e-4
Gum and Other Mouth,Male,Black,70-74,45789.2,16,3.5e-4,2e-4,5.650000000000001e-4,9,1.9655289893686723e-4,0,0
Gum and Other Mouth,Female,All,50-54,1548758.2,115,7.5e-5,5.9999999999999995e-5,9e-5,37,2.389010757134329e-5,0,0
Gum and Other Mouth,Female,All,60-64,918696.2,142,1.55e-4,1.3e-4,1.8e-4,75,8.16374335716203e-5,0,0
Gum and Other Mouth,Female,All,70-74,750127.4,217,2.8999999999999995e-4,2.5e-4,3.2999999999999994e-4,142,1.8930117737333684e-4,0,0
Gum and Other Mouth,Female,Black,50-54,172564.2,28,1.6e-4,1.1e-4,2.35e-4,15,8.692417083033444e-5,0,0
Gum and Other Mouth,Female,Black,60-64,96576.4,14,1.4500000000000003e-4,8e-5,2.4500000000000005e-4,8,8.283597234935243e-5,0,0
Gum and Other Mouth,Female,Black,70-74,66563.6,15,2.25e-4,1.2499999999999998e-4,3.7e-4,8,1.2018580725802089e-4,0,0
Hypopharynx,Male,All,50-54,1482093,147,1e-4,8.5e-5,1.15e-4,100,6.747214918362073e-5,0,0
Hypopharynx,Male,All,60-64,836793,183,2.2e-4,1.8999999999999998e-4,2.55e-4,137,1.637202988074709e-4,0,0
Hypopharynx,Male,All,70-74,592901.4,209,3.5499999999999996e-4,3.05e-4,4.05e-4,170,2.867255837142567e-4,0,0
Hypopharynx,Male,Black,50-54,148162.6,38,2.5499999999999996e-4,1.8e-4,3.5e-4,30,2.0248024805180254e-4,0,3.455315039017944e-4
Hypopharynx,Male,Black,60-64,78088,36,4.5999999999999996e-4,3.25e-4,6.4e-4,27,3.4576375371375885e-4,0,6.556045231021412e-4
Hypopharynx,Male,Black,70-74,45789.2,29,6.349999999999999e-4,4.2500000000000003e-4,9.1e-4,21,4.586234308526902e-4,0,0.001118055043547387
Hypopharynx,Female,All,50-54,1548758.2,48,2.9999999999999997e-5,2.5e-5,4e-5,30,1.9370357490278342e-5,0,0
Hypopharynx,Female,All,60-64,918696.2,48,5e-5,4.000000000000001e-5,7.000000000000001e-5,32,3.483197165722466e-5,0,0
Hypopharynx,Female,All,70-74,750127.4,58,7.5e-5,5.999999999999999e-5,9.999999999999999e-5,54,7.198777167718443e-5,0,0
Hypopharynx,Female,Black,50-54,172564.2,12,7e-5,3.5e-5,1.1999999999999999e-4,9,5.2154502498200665e-5,0,0
Hypopharynx,Female,Black,60-64,96576.4,5,5.000000000000001e-5,1.5000000000000002e-5,1.2000000000000002e-4,4,4.1417986174676216e-5,0,0
Hypopharynx,Female,Black,70-74,66563.6,1,1.4999999999999999e-5,0,8.499999999999999e-5,1,1.5023225907252611e-5,0,0
Intrahepatic Bile Duct,Male,All,50-54,1482093,46,2.9999999999999997e-5,2.5e-5,4e-5,43,2.9013024148956914e-5,0,0
Intrahepatic Bile Duct,Male,All,60-64,836793,74,8.999999999999999e-5,7.000000000000001e-5,1.1e-4,65,7.767751403274167e-5,0,0
Intrahepatic Bile Duct,Male,All,70-74,592901.4,132,2.25e-4,1.85e-4,2.65e-4,120,2.0239452968065177e-4,0,0
Intrahepatic Bile Duct,Male,Black,50-54,148162.6,3,2e-5,5e-6,6e-5,3,2.0248024805180255e-5,0,0
Intrahepatic Bile Duct,Male,Black,60-64,78088,9,1.1499999999999999e-4,5.500000000000001e-5,2.2000000000000003e-4,8,1.0244851961889151e-4,0,0
Intrahepatic Bile Duct,Male,Black,70-74,45789.2,8,1.75e-4,7.500000000000001e-5,3.4500000000000004e-4,6,1.3103526595791148e-4,0,0
Intrahepatic Bile Duct,Female,All,50-54,1548758.2,33,2e-5,1.4999999999999999e-5,2.9999999999999997e-5,26,1.6787643158241227e-5,0,0
Intrahepatic Bile Duct,Female,All,60-64,918696.2,60,6.5e-5,5e-5,8.5e-5,52,5.660195394299008e-5,0,0
Intrahepatic Bile Duct,Female,All,70-74,750127.4,95,1.25e-4,9.999999999999999e-5,1.55e-4,87,1.1598029881324159e-4,0,0
Intrahepatic Bile Duct,Female,Black,50-54,172564.2,4,2.4999999999999998e-5,5e-6,5.9999999999999995e-5,3,1.7384834166066887e-5,0,0
Intrahepatic Bile Duct,Female,Black,60-64,96576.4,4,4e-5,1e-5,1.0500000000000002e-4,3,3.1063489631007164e-5,0,0
Intrahepatic Bile Duct,Female,Black,70-74,66563.6,7,1.05e-4,3.9999999999999996e-05,2.1499999999999997e-4,5,7.511612953626305e-5,0,0
Kaposi Sarcoma,Male,All,50-54,1482093,99,6.5e-5,5.500000000000001e-5,8e-5,50,3.3736074591810366e-5,0,0
Kaposi Sarcoma,Male,All,60-64,836793,33,3.9999999999999996e-05,2.4999999999999998e-5,5.5e-5,12,1.4340464129121539e-5,0,0
Kaposi Sarcoma,Male,All,70-74,592901.4,49,8.499999999999999e-5,5.9999999999999995e-5,1.1e-4,21,3.541904269411406e-5,0,0
Kaposi Sarcoma,Male,Black,50-54,148162.6,21,1.4e-4,9e-5,2.1499999999999997e-4,16,1.0798946562762802e-4,0,3.455315039017944e-4
Kaposi Sarcoma,Male,Black,60-64,78088,7,9e-5,3.5000000000000004e-5,1.85e-4,5,6.403032476180719e-5,0,0
Kaposi Sarcoma,Male,Black,70-74,45789.2,1,2e-5,0,1.2000000000000002e-4,0,0,0,0
Kaposi Sarcoma,Female,All,50-54,1548758.2,7,5e-6,0,1e-5,4,2.582714332037112e-6,0,0
Kaposi Sarcoma,Female,All,60-64,918696.2,4,5.000000000000001e-6,0,1.0000000000000003e-5,1,1.0884991142882707e-6,0,0
Kaposi Sarcoma,Female,All,70-74,750127.4,11,1.4999999999999997e-5,5e-6,2.4999999999999998e-5,4,5.332427531643291e-6,0,0
Kaposi Sarcoma,Female,Black,50-54,172564.2,3,1.4999999999999999e-5,5e-6,4.9999999999999996e-5,2,1.1589889444044592e-5,0,0
Kaposi Sarcoma,Female,Black,60-64,96576.4,1,1e-5,0,6.000000000000001e-5,1,1.0354496543669054e-5,0,0
Kaposi Sarcoma,Female,Black,70-74,66563.6,0,0,0,5.5e-5,0,0,0,0
Kidney and Renal Pelvis,Male,All,50-54,1482093,1796,0.00121,0.001155,0.00127,734,4.952455750077762e-4,3.137699833951041e-4,6.275399667902082e-4
Kidney and Renal Pelvis,Male,All,60-64,836793,2269,0.00271,0.0026,0.002825,1049,0.001253595572620708,0.001111472720254591,0.001111472720254591
Kidney and Renal Pelvis,Male,All,70-74,592901.4,2387,0.004025,0.0038649999999999995,0.004189999999999999,1378,0.002324163849166151,0.0023530200603338086,0.0023530200603338086
Kidney and Renal Pelvis,Male,Black,50-54,148162.6,230,0.00155,0.0013599999999999997,0.0017649999999999999,102,6.884328433761286e-4,6.910630078035888e-4,6.910630078035888e-4
Kidney and Renal Pelvis,Male,Black,60-64,78088,235,0.00301,0.0026349999999999998,0.0034200000000000003,96,0.001229382235426698,0.0013112090462042824,0.0013112090462042824
Kidney and Renal Pelvis,Male,Black,70-74,45789.2,201,0.004390000000000001,0.0038050000000000002,0.00504,96,0.0020965642553265836,0.002236110087094774,0.002236110087094774
Kidney and Renal Pelvis,Female,All,50-54,1548758.2,924,5.95e-4,5.6e-4,6.349999999999999e-4,287,1.853097533236628e-4,3.0777024909375784e-4,3.0777024909375784e-4
Kidney and Renal Pelvis,Female,All,60-64,918696.2,1039,0.0011300000000000001,0.001065,0.0012000000000000001,456,4.963555961154515e-4,5.188458349996441e-4,5.188458349996441e-4
Kidney and Renal Pelvis,Female,All,70-74,750127.4,1424,0.0019,0.0017999999999999997,0.002,800,0.0010664855063286583,0.0012708819781813063,0.0012708819781813063
Kidney and Renal Pelvis,Female,Black,50-54,172564.2,130,7.549999999999999e-4,6.299999999999999e-4,8.949999999999999e-4,48,2.781573466570702e-4,3.210659163372241e-4,3.210659163372241e-4
Kidney and Renal Pelvis,Female,Black,60-64,96576.4,123,0.001275,0.0010600000000000002,0.0015199999999999999,54,5.591428133581289e-4,5.73685527727271e-4,5.73685527727271e-4
Kidney and Renal Pelvis,Female,Black,70-74,66563.6,152,0.002285,0.0019349999999999999,0.0026749999999999994,82,0.001231904524394714,8.32354064383537e-4,0.001664708128767074
