"Sex (Male, Female)","Race recode (All, Black)","Age recode (50-54, 60-64, 70-74)","Site recode ICD-O-3/WHO 2008 (Liu et al groupings)","Crude Rate","Standard Error","Lower Confidence Interval","Upper Confidence Interval","Count","Population"
"Male","All","70-74 years","Ureter",4.1,0.4,3.4,4.9,122,2964507
"Male","All","70-74 years","Other Urinary Organs",2.5,0.3,2.0,3.1,74,2964507
"Male","All","70-74 years","Eye and Orbit",3.5,0.3,2.9,4.3,105,2964507
"Male","All","70-74 years","Brain and Other Nervous System",25.5,0.9,23.7,27.4,755,2964507
"Male","All","70-74 years","Thyroid",10.9,0.6,9.7,12.1,322,2964507
"Male","All","70-74 years","Other Endocrine including Thymus",2.2,0.3,1.7,2.8,65,2964507
"Male","All","70-74 years","Lymphoma",98.8,1.8,95.3,102.5,2930,2964507
"Male","All","70-74 years","Myeloma",37.1,1.1,34.9,39.4,1100,2964507
"Male","All","70-74 years","Leukemia",70.6,1.5,67.6,73.7,2092,2964507
"Male","All","70-74 years","Mesothelioma",12.3,0.6,11.0,13.6,364,2964507
"Male","All","70-74 years","Kaposi Sarcoma",1.7,0.2,1.2,2.2,49,2964507
"Male","Black","50-54 years","Lip",0.0,NA,0.0,0.5,0,740813
"Male","Black","50-54 years","Tongue",10.9,1.2,8.7,13.6,81,740813
"Male","Black","50-54 years","Salivary Gland",2.0,0.5,1.1,3.3,15,740813
"Male","Black","50-54 years","Floor of Mouth",5.3,0.8,3.7,7.2,39,740813
"Male","Black","50-54 years","Gum and Other Mouth",4.3,0.8,3.0,6.1,32,740813
"Male","Black","50-54 years","Nasopharynx",1.8,0.5,0.9,3.0,13,740813
"Male","Black","50-54 years","Tonsil",8.1,1.0,6.2,10.4,60,740813
"Male","Black","50-54 years","Oropharynx",2.2,0.5,1.2,3.5,16,740813
"Male","Black","50-54 years","Hypopharynx",5.1,0.8,3.6,7.0,38,740813
"Male","Black","50-54 years","Other Oral Cavity and Pharynx",1.2,0.4,0.6,2.3,9,740813
"Male","Black","50-54 years","Esophagus",19.6,1.6,16.5,23.0,145,740813
"Male","Black","50-54 years","Stomach",20.0,1.6,16.9,23.5,148,740813
"Male","Black","50-54 years","Small Intestine",5.9,0.9,4.3,8.0,44,740813
"Male","Black","50-54 years","Colon and Rectum",81.0,3.3,74.6,87.7,600,740813
"Male","Black","50-54 years","Anus, Anal Canal and Anorectum",2.3,0.6,1.3,3.7,17,740813
"Male","Black","50-54 years","Liver",27.0,1.9,23.4,31.0,200,740813
"Male","Black","50-54 years","Intrahepatic Bile Duct",0.4,0.2,0.1,1.2,3,740813
"Male","Black","50-54 years","Gallbladder",0.3,0.2,0.0,1.0,2,740813
"Male","Black","50-54 years","Other Biliary",1.3,0.4,0.6,2.5,10,740813
"Male","Black","50-54 years","Pancreas",18.2,1.6,15.3,21.6,135,740813
"Male","Black","50-54 years","Retroperitoneum",0.3,0.2,0.0,1.0,2,740813
"Male","Black","50-54 years","Peritoneum, Omentum and Mesentery",0.3,0.2,0.0,1.0,2,740813
"Male","Black","50-54 years","Other Digestive Organs",0.5,0.3,0.1,1.4,4,740813
"Male","Black","50-54 years","Nose, Nasal Cavity and Middle Ear",1.5,0.4,0.7,2.7,11,740813
"Male","Black","50-54 years","Larynx",18.2,1.6,15.3,21.6,135,740813
"Male","Black","50-54 years","Lung and Bronchus",116.8,4.0,109.1,124.8,865,740813
"Male","Black","50-54 years","Pleura",0.0,NA,0.0,0.5,0,740813
"Male","Black","50-54 years","Trachea, Mediastinum and Other Respiratory Organs",0.5,0.3,0.1,1.4,4,740813
"Male","Black","50-54 years","Bones and Joints",1.1,0.4,0.5,2.1,8,740813
"Male","Black","50-54 years","Soft Tissue including Heart",3.1,0.6,2.0,4.7,23,740813
"Male","Black","50-54 years","Melanoma of the Skin",1.2,0.4,0.6,2.3,9,740813
"Male","Black","50-54 years","Other Non-Epithelial Skin",1.5,0.4,0.7,2.7,11,740813
"Male","Black","50-54 years","Breast",1.5,0.4,0.7,2.7,11,740813
"Male","Black","50-54 years","Cervix Uteri",0.0,NA,0.0,0.5,0,740813
"Male","Black","50-54 years","Corpus Uteri",0.0,NA,0.0,0.5,0,740813
"Male","Black","50-54 years","Uterus, NOS",0.0,NA,0.0,0.5,0,740813
"Male","Black","50-54 years","Ovary",0.0,NA,0.0,0.5,0,740813
"Male","Black","50-54 years","Vagina",0.0,NA,0.0,0.5,0,740813
"Male","Black","50-54 years","Vulva",0.0,NA,0.0,0.5,0,740813
"Male","Black","50-54 years","Other Female Genital Organs",0.0,NA,0.0,0.5,0,740813
"Male","Black","50-54 years","Prostate",274.4,6.1,262.6,286.6,2033,740813
"Male","Black","50-54 years","Testis",1.3,0.4,0.6,2.5,10,740813
"Male","Black","50-54 years","Penis",0.7,0.3,0.2,1.6,5,740813
"Male","Black","50-54 years","Other Male Genital Organs",0.4,0.2,0.1,1.2,3,740813
"Male","Black","50-54 years","Urinary Bladder",16.5,1.5,13.7,19.7,122,740813
"Male","Black","50-54 years","Kidney and Renal Pelvis",31.0,2.0,27.2,35.3,230,740813
"Male","Black","50-54 years","Ureter",0.3,0.2,0.0,1.0,2,740813
"Male","Black","50-54 years","Other Urinary Organs",0.3,0.2,0.0,1.0,2,740813
"Male","Black","50-54 years","Eye and Orbit",0.1,0.1,0.0,0.8,1,740813
"Male","Black","50-54 years","Brain and Other Nervous System",5.8,0.9,4.2,7.8,43,740813
"Male","Black","50-54 years","Thyroid",4.3,0.8,3.0,6.1,32,740813
"Male","Black","50-54 years","Other Endocrine including Thymus",1.5,0.4,0.7,2.7,11,740813
"Male","Black","50-54 years","Lymphoma",31.5,2.1,27.5,35.8,233,740813
"Male","Black","50-54 years","Myeloma",16.3,1.5,13.6,19.5,121,740813
"Male","Black","50-54 years","Leukemia",14.6,1.4,12.0,17.6,108,740813
"Male","Black","50-54 years","Mesothelioma",0.5,0.3,0.1,1.4,4,740813
"Male","Black","50-54 years","Kaposi Sarcoma",2.8,0.6,1.8,4.3,21,740813
"Male","Black","60-64 years","Lip",0.3,0.3,0.0,1.4,1,390440
"Male","Black","60-64 years","Tongue",17.4,2.1,13.5,22.1,68,390440
"Male","Black","60-64 years","Salivary Gland",3.6,1.0,2.0,6.0,14,390440
"Male","Black","60-64 years","Floor of Mouth",7.2,1.4,4.8,10.4,28,390440
"Male","Black","60-64 years","Gum and Other Mouth",9.5,1.6,6.7,13.1,37,390440
"Male","Black","60-64 years","Nasopharynx",3.3,0.9,1.8,5.7,13,390440
"Male","Black","60-64 years","Tonsil",11.0,1.7,8.0,14.8,43,390440
"Male","Black","60-64 years","Oropharynx",3.8,1.0,2.2,6.3,15,390440
"Male","Black","60-64 years","Hypopharynx",9.2,1.5,6.5,12.8,36,390440
"Male","Black","60-64 years","Other Oral Cavity and Pharynx",3.6,1.0,2.0,6.0,14,390440
"Male","Black","60-64 years","Esophagus",44.8,3.4,38.4,52.0,175,390440
"Male","Black","60-64 years","Stomach",43.3,3.3,37.0,50.3,169,390440
"Male","Black","60-64 years","Small Intestine",8.2,1.4,5.6,11.6,32,390440
"Male","Black","60-64 years","Colon and Rectum",205.4,7.3,191.4,220.1,802,390440
"Male","Black","60-64 years","Anus, Anal Canal and Anorectum",2.3,0.8,1.1,4.4,9,390440
"Male","Black","60-64 years","Liver",31.0,2.8,25.7,37.0,121,390440
"Male","Black","60-64 years","Intrahepatic Bile Duct",2.3,0.8,1.1,4.4,9,390440
"Male","Black","60-64 years","Gallbladder",1.3,0.6,0.4,3.0,5,390440
"Male","Black","60-64 years","Other Biliary",3.6,1.0,2.0,6.0,14,390440
"Male","Black","60-64 years","Pancreas",47.4,3.5,40.8,54.7,185,390440
"Male","Black","60-64 years","Retroperitoneum",0.8,0.4,0.2,2.2,3,390440
"Male","Black","60-64 years","Peritoneum, Omentum and Mesentery",0.8,0.4,0.2,2.2,3,390440
"Male","Black","60-64 years","Other Digestive Organs",2.8,0.8,1.4,5.0,11,390440
"Male","Black","60-64 years","Nose, Nasal Cavity and Middle Ear",3.1,0.9,1.6,5.4,12,390440
"Male","Black","60-64 years","Larynx",48.7,3.5,42.0,56.1,190,390440
"Male","Black","60-64 years","Lung and Bronchus",365.7,9.7,347.0,385.2,1428,390440
"Male","Black","60-64 years","Pleura",0.0,NA,0.0,0.9,0,390440
"Male","Black","60-64 years","Trachea, Mediastinum and Other Respiratory Organs",0.3,0.3,0.0,1.4,1,390440
"Male","Black","60-64 years","Bones and Joints",1.8,0.7,0.7,3.7,7,390440
"Male","Black","60-64 years","Soft Tissue including Heart",5.4,1.2,3.3,8.2,21,390440
"Male","Black","60-64 years","Melanoma of the Skin",4.9,1.1,2.9,7.6,19,390440
"Male","Black","60-64 years","Other Non-Epithelial Skin",2.0,0.7,0.9,4.0,8,390440
"Male","Black","60-64 years","Breast",5.4,1.2,3.3,8.2,21,390440
"Male","Black","60-64 years","Cervix Uteri",0.0,NA,0.0,0.9,0,390440
"Male","Black","60-64 years","Corpus Uteri",0.0,NA,0.0,0.9,0,390440
"Male","Black","60-64 years","Uterus, NOS",0.0,NA,0.0,0.9,0,390440
"Male","Black","60-64 years","Ovary",0.0,NA,0.0,0.9,0,390440
"Male","Black","60-64 years","Vagina",0.0,NA,0.0,0.9,0,390440
"Male","Black","60-64 years","Vulva",0.0,NA,0.0,0.9,0,390440
"Male","Black","60-64 years","Other Female Genital Organs",0.0,NA,0.0,0.9,0,390440
"Male","Black","60-64 years","Prostate",1021.9,16.2,990.5,1054.1,3990,390440
"Male","Black","60-64 years","Testis",1.0,0.5,0.3,2.6,4,390440
"Male","Black","60-64 years","Penis",4.1,1.0,2.3,6.7,16,390440
"Male","Black","60-64 years","Other Male Genital Organs",0.3,0.3,0.0,1.4,1,390440
"Male","Black","60-64 years","Urinary Bladder",45.3,3.4,38.9,52.5,177,390440
"Male","Black","60-64 years","Kidney and Renal Pelvis",60.2,3.9,52.7,68.4,235,390440
"Male","Black","60-64 years","Ureter",1.5,0.6,0.6,3.3,6,390440
"Male","Black","60-64 years","Other Urinary Organs",1.3,0.6,0.4,3.0,5,390440
"Male","Black","60-64 years","Eye and Orbit",0.3,0.3,0.0,1.4,1,390440
"Male","Black","60-64 years","Brain and Other Nervous System",10.0,1.6,7.1,13.7,39,390440
"Male","Black","60-64 years","Thyroid",5.4,1.2,3.3,8.2,21,390440
"Male","Black","60-64 years","Other Endocrine including Thymus",2.0,0.7,0.9,4.0,8,390440
"Male","Black","60-64 years","Lymphoma",39.2,3.2,33.2,45.9,153,390440
"Male","Black","60-64 years","Myeloma",34.8,3.0,29.2,41.2,136,390440
"Male","Black","60-64 years","Leukemia",30.0,2.8,24.8,35.9,117,390440
"Male","Black","60-64 years","Mesothelioma",1.5,0.6,0.6,3.3,6,390440
"Male","Black","60-64 years","Kaposi Sarcoma",1.8,0.7,0.7,3.7,7,390440
"Male","Black","70-74 years","Lip",1.7,0.9,0.5,4.5,4,228946
"Male","Black","70-74 years","Tongue",15.3,2.6,10.6,21.3,35,228946
"Male","Black","70-74 years","Salivary Gland",2.2,1.0,0.7,5.1,5,228946
"Male","Black","70-74 years","Floor of Mouth",4.8,1.4,2.4,8.6,11,228946
"Male","Black","70-74 years","Gum and Other Mouth",7.0,1.7,4.0,11.3,16,228946
"Male","Black","70-74 years","Nasopharynx",2.6,1.1,1.0,5.7,6,228946
"Male","Black","70-74 years","Tonsil",10.0,2.1,6.4,15.1,23,228946
"Male","Black","70-74 years","Oropharynx",3.9,1.3,1.8,7.5,9,228946
"Male","Black","70-74 years","Hypopharynx",12.7,2.4,8.5,18.2,29,228946
"Male","Black","70-74 years","Other Oral Cavity and Pharynx",3.1,1.2,1.2,6.3,7,228946
"Male","Black","70-74 years","Esophagus",61.6,5.2,51.8,72.6,141,228946
"Male","Black","70-74 years","Stomach",85.2,6.1,73.6,98.0,195,228946
"Male","Black","70-74 years","Small Intestine",16.2,2.7,11.4,22.3,37,228946
"Male","Black","70-74 years","Colon and Rectum",333.3,12.1,310.0,357.8,763,228946
"Male","Black","70-74 years","Anus, Anal Canal and Anorectum",4.8,1.4,2.4,8.6,11,228946
"Male","Black","70-74 years","Liver",38.9,4.1,31.2,47.8,89,228946
"Male","Black","70-74 years","Intrahepatic Bile Duct",3.5,1.2,1.5,6.9,8,228946
"Male","Black","70-74 years","Gallbladder",5.7,1.6,3.0,9.7,13,228946
"Male","Black","70-74 years","Other Biliary",7.0,1.7,4.0,11.3,16,228946
"Male","Black","70-74 years","Pancreas",91.3,6.3,79.3,104.5,209,228946
"Male","Black","70-74 years","Retroperitoneum",0.4,0.4,0.0,2.4,1,228946
"Male","Black","70-74 years","Peritoneum, Omentum and Mesentery",0.0,NA,0.0,1.6,0,228946
"Male","Black","70-74 years","Other Digestive Organs",3.1,1.2,1.2,6.3,7,228946
"Male","Black","70-74 years","Nose, Nasal Cavity and Middle Ear",3.9,1.3,1.8,7.5,9,228946
"Male","Black","70-74 years","Larynx",55.9,4.9,46.6,66.5,128,228946
"Male","Black","70-74 years","Lung and Bronchus",609.8,16.3,578.2,642.6,1396,228946
"Male","Black","70-74 years","Pleura",0.0,NA,0.0,1.6,0,228946
"Male","Black","70-74 years","Trachea, Mediastinum and Other Respiratory Organs",0.0,NA,0.0,1.6,0,228946
"Male","Black","70-74 years","Bones and Joints",2.6,1.1,1.0,5.7,6,228946
"Male","Black","70-74 years","Soft Tissue including Heart",11.4,2.2,7.4,16.6,26,228946
"Male","Black","70-74 years","Melanoma of the Skin",3.9,1.3,1.8,7.5,9,228946
"Male","Black","70-74 years","Other Non-Epithelial Skin",3.1,1.2,1.2,6.3,7,228946
"Male","Black","70-74 years","Breast",6.1,1.6,3.3,10.3,14,228946
"Male","Black","70-74 years","Cervix Uteri",0.0,NA,0.0,1.6,0,228946
"Male","Black","70-74 years","Corpus Uteri",0.0,NA,0.0,1.6,0,228946
