"Sex (Male, Female)","Race recode (All, Black)","Age recode (50-54, 60-64, 70-74)","Site recode ICD-O-3/WHO 2008 (Liu et al groupings)","Crude Rate","Standard Error","Lower Confidence Interval","Upper Confidence Interval","Count","Population"
"Male","All","70-74 years","Pleura",0.0,0.0,0.0,0.0,5,465036296
"Male","All","70-74 years","Trachea, Mediastinum and Other Respiratory Organs",0.0,0.0,0.0,0.0,17,465036296
"Male","All","70-74 years","Bones and Joints",0.0,0.0,0.0,0.0,45,465036296
"Male","All","70-74 years","Soft Tissue including Heart",0.0,0.0,0.0,0.0,193,465036296
"Male","All","70-74 years","Melanoma of the Skin",0.3,0.0,0.3,0.3,1247,465036296
"Male","All","70-74 years","Other Non-Epithelial Skin",0.0,0.0,0.0,0.0,161,465036296
"Male","All","70-74 years","Breast",0.0,0.0,0.0,0.0,78,465036296
"Male","All","70-74 years","Cervix Uteri",0.0,NA,0.0,0.0,0,465036296
"Male","All","70-74 years","Corpus Uteri",0.0,NA,0.0,0.0,0,465036296
"Male","All","70-74 years","Uterus, NOS",0.0,NA,0.0,0.0,0,465036296
"Male","All","70-74 years","Ovary",0.0,NA,0.0,0.0,0,465036296
"Male","All","70-74 years","Vagina",0.0,NA,0.0,0.0,0,465036296
"Male","All","70-74 years","Vulva",0.0,NA,0.0,0.0,0,465036296
"Male","All","70-74 years","Other Female Genital Organs",0.0,NA,0.0,0.0,0,465036296
"Male","All","70-74 years","Prostate",2.6,0.0,2.6,2.7,12227,465036296
"Male","All","70-74 years","Testis",0.0,0.0,0.0,0.0,13,465036296
"Male","All","70-74 years","Penis",0.0,0.0,0.0,0.0,75,465036296
"Male","All","70-74 years","Other Male Genital Organs",0.0,0.0,0.0,0.0,21,465036296
"Male","All","70-74 years","Urinary Bladder",0.7,0.0,0.7,0.7,3273,465036296
"Male","All","70-74 years","Kidney and Renal Pelvis",0.3,0.0,0.3,0.3,1378,465036296
"Male","All","70-74 years","Ureter",0.0,0.0,0.0,0.0,78,465036296
"Male","All","70-74 years","Other Urinary Organs",0.0,0.0,0.0,0.0,52,465036296
"Male","All","70-74 years","Eye and Orbit",0.0,0.0,0.0,0.0,64,465036296
"Male","All","70-74 years","Brain and Other Nervous System",0.1,0.0,0.1,0.2,679,465036296
"Male","All","70-74 years","Thyroid",0.0,0.0,0.0,0.0,157,465036296
"Male","All","70-74 years","Other Endocrine including Thymus",0.0,0.0,0.0,0.0,47,465036296
"Male","All","70-74 years","Lymphoma",0.4,0.0,0.4,0.4,1973,465036296
"Male","All","70-74 years","Myeloma",0.2,0.0,0.2,0.2,922,465036296
"Male","All","70-74 years","Leukemia",0.3,0.0,0.3,0.4,1573,465036296
"Male","All","70-74 years","Mesothelioma",0.1,0.0,0.1,0.1,321,465036296
"Male","All","70-74 years","Kaposi Sarcoma",0.0,0.0,0.0,0.0,21,465036296
"Male","Black","50-54 years","Lip",0.0,NA,0.0,0.0,0,51194846
"Male","Black","50-54 years","Tongue",0.1,0.0,0.1,0.1,52,51194846
"Male","Black","50-54 years","Salivary Gland",0.0,0.0,0.0,0.0,7,51194846
"Male","Black","50-54 years","Floor of Mouth",0.0,0.0,0.0,0.1,23,51194846
"Male","Black","50-54 years","Gum and Other Mouth",0.0,0.0,0.0,0.1,16,51194846
"Male","Black","50-54 years","Nasopharynx",0.0,0.0,0.0,0.0,6,51194846
"Male","Black","50-54 years","Tonsil",0.1,0.0,0.0,0.1,34,51194846
"Male","Black","50-54 years","Oropharynx",0.0,0.0,0.0,0.0,13,51194846
"Male","Black","50-54 years","Hypopharynx",0.1,0.0,0.0,0.1,30,51194846
"Male","Black","50-54 years","Other Oral Cavity and Pharynx",0.0,0.0,0.0,0.0,6,51194846
"Male","Black","50-54 years","Esophagus",0.2,0.0,0.2,0.3,109,51194846
"Male","Black","50-54 years","Stomach",0.2,0.0,0.2,0.2,95,51194846
"Male","Black","50-54 years","Small Intestine",0.0,0.0,0.0,0.1,18,51194846
"Male","Black","50-54 years","Colon and Rectum",0.5,0.0,0.5,0.6,267,51194846
"Male","Black","50-54 years","Anus, Anal Canal and Anorectum",0.0,0.0,0.0,0.0,10,51194846
"Male","Black","50-54 years","Liver",0.3,0.0,0.3,0.4,159,51194846
"Male","Black","50-54 years","Intrahepatic Bile Duct",0.0,0.0,0.0,0.0,3,51194846
"Male","Black","50-54 years","Gallbladder",0.0,0.0,0.0,0.0,1,51194846
"Male","Black","50-54 years","Other Biliary",0.0,0.0,0.0,0.0,9,51194846
"Male","Black","50-54 years","Pancreas",0.2,0.0,0.2,0.3,111,51194846
"Male","Black","50-54 years","Retroperitoneum",0.0,0.0,0.0,0.0,1,51194846
"Male","Black","50-54 years","Peritoneum, Omentum and Mesentery",0.0,0.0,0.0,0.0,2,51194846
"Male","Black","50-54 years","Other Digestive Organs",0.0,0.0,0.0,0.0,4,51194846
"Male","Black","50-54 years","Nose, Nasal Cavity and Middle Ear",0.0,0.0,0.0,0.0,6,51194846
"Male","Black","50-54 years","Larynx",0.1,0.0,0.1,0.2,76,51194846
"Male","Black","50-54 years","Lung and Bronchus",1.2,0.0,1.1,1.3,616,51194846
"Male","Black","50-54 years","Pleura",0.0,NA,0.0,0.0,0,51194846
"Male","Black","50-54 years","Trachea, Mediastinum and Other Respiratory Organs",0.0,0.0,0.0,0.0,2,51194846
"Male","Black","50-54 years","Bones and Joints",0.0,0.0,0.0,0.0,3,51194846
"Male","Black","50-54 years","Soft Tissue including Heart",0.0,0.0,0.0,0.0,11,51194846
"Male","Black","50-54 years","Melanoma of the Skin",0.0,0.0,0.0,0.0,3,51194846
"Male","Black","50-54 years","Other Non-Epithelial Skin",0.0,0.0,0.0,0.0,1,51194846
"Male","Black","50-54 years","Breast",0.0,0.0,0.0,0.0,5,51194846
"Male","Black","50-54 years","Cervix Uteri",0.0,NA,0.0,0.0,0,51194846
"Male","Black","50-54 years","Corpus Uteri",0.0,NA,0.0,0.0,0,51194846
"Male","Black","50-54 years","Uterus, NOS",0.0,NA,0.0,0.0,0,51194846
"Male","Black","50-54 years","Ovary",0.0,NA,0.0,0.0,0,51194846
"Male","Black","50-54 years","Vagina",0.0,NA,0.0,0.0,0,51194846
"Male","Black","50-54 years","Vulva",0.0,NA,0.0,0.0,0,51194846
"Male","Black","50-54 years","Other Female Genital Organs",0.0,NA,0.0,0.0,0,51194846
"Male","Black","50-54 years","Prostate",0.7,0.0,0.6,0.8,359,51194846
"Male","Black","50-54 years","Testis",0.0,0.0,0.0,0.0,1,51194846
"Male","Black","50-54 years","Penis",0.0,0.0,0.0,0.0,2,51194846
"Male","Black","50-54 years","Other Male Genital Organs",0.0,0.0,0.0,0.0,2,51194846
"Male","Black","50-54 years","Urinary Bladder",0.1,0.0,0.1,0.1,37,51194846
"Male","Black","50-54 years","Kidney and Renal Pelvis",0.2,0.0,0.2,0.2,102,51194846
"Male","Black","50-54 years","Ureter",0.0,0.0,0.0,0.0,1,51194846
"Male","Black","50-54 years","Other Urinary Organs",0.0,0.0,0.0,0.0,1,51194846
"Male","Black","50-54 years","Eye and Orbit",0.0,0.0,0.0,0.0,1,51194846
"Male","Black","50-54 years","Brain and Other Nervous System",0.1,0.0,0.0,0.1,30,51194846
"Male","Black","50-54 years","Thyroid",0.0,0.0,0.0,0.0,4,51194846
"Male","Black","50-54 years","Other Endocrine including Thymus",0.0,0.0,0.0,0.0,3,51194846
"Male","Black","50-54 years","Lymphoma",0.2,0.0,0.2,0.3,119,51194846
"Male","Black","50-54 years","Myeloma",0.2,0.0,0.1,0.2,82,51194846
"Male","Black","50-54 years","Leukemia",0.1,0.0,0.1,0.2,62,51194846
"Male","Black","50-54 years","Mesothelioma",0.0,0.0,0.0,0.0,3,51194846
"Male","Black","50-54 years","Kaposi Sarcoma",0.0,0.0,0.0,0.1,16,51194846
"Male","Black","60-64 years","Lip",0.0,NA,0.0,0.0,0,51194846
"Male","Black","60-64 years","Tongue",0.1,0.0,0.1,0.1,45,51194846
"Male","Black","60-64 years","Salivary Gland",0.0,0.0,0.0,0.0,5,51194846
"Male","Black","60-64 years","Floor of Mouth",0.0,0.0,0.0,0.1,22,51194846
"Male","Black","60-64 years","Gum and Other Mouth",0.0,0.0,0.0,0.1,24,51194846
"Male","Black","60-64 years","Nasopharynx",0.0,0.0,0.0,0.0,7,51194846
"Male","Black","60-64 years","Tonsil",0.0,0.0,0.0,0.1,24,51194846
"Male","Black","60-64 years","Oropharynx",0.0,0.0,0.0,0.0,10,51194846
"Male","Black","60-64 years","Hypopharynx",0.1,0.0,0.0,0.1,27,51194846
"Male","Black","60-64 years","Other Oral Cavity and Pharynx",0.0,0.0,0.0,0.0,10,51194846
"Male","Black","60-64 years","Esophagus",0.3,0.0,0.2,0.3,134,51194846
"Male","Black","60-64 years","Stomach",0.2,0.0,0.2,0.3,124,51194846
"Male","Black","60-64 years","Small Intestine",0.0,0.0,0.0,0.0,11,51194846
"Male","Black","60-64 years","Colon and Rectum",0.8,0.0,0.7,0.9,400,51194846
"Male","Black","60-64 years","Anus, Anal Canal and Anorectum",0.0,0.0,0.0,0.0,4,51194846
"Male","Black","60-64 years","Liver",0.2,0.0,0.1,0.2,94,51194846
"Male","Black","60-64 years","Intrahepatic Bile Duct",0.0,0.0,0.0,0.0,8,51194846
"Male","Black","60-64 years","Gallbladder",0.0,0.0,0.0,0.0,3,51194846
"Male","Black","60-64 years","Other Biliary",0.0,0.0,0.0,0.0,12,51194846
"Male","Black","60-64 years","Pancreas",0.3,0.0,0.3,0.4,155,51194846
"Male","Black","60-64 years","Retroperitoneum",0.0,0.0,0.0,0.0,2,51194846
"Male","Black","60-64 years","Peritoneum, Omentum and Mesentery",0.0,0.0,0.0,0.0,1,51194846
"Male","Black","60-64 years","Other Digestive Organs",0.0,0.0,0.0,0.0,10,51194846
"Male","Black","60-64 years","Nose, Nasal Cavity and Middle Ear",0.0,0.0,0.0,0.0,7,51194846
"Male","Black","60-64 years","Larynx",0.2,0.0,0.2,0.2,103,51194846
"Male","Black","60-64 years","Lung and Bronchus",2.1,0.1,2.0,2.2,1074,51194846
"Male","Black","60-64 years","Pleura",0.0,NA,0.0,0.0,0,51194846
"Male","Black","60-64 years","Trachea, Mediastinum and Other Respiratory Organs",0.0,0.0,0.0,0.0,1,51194846
"Male","Black","60-64 years","Bones and Joints",0.0,0.0,0.0,0.0,2,51194846
"Male","Black","60-64 years","Soft Tissue including Heart",0.0,0.0,0.0,0.0,12,51194846
"Male","Black","60-64 years","Melanoma of the Skin",0.0,0.0,0.0,0.0,10,51194846
"Male","Black","60-64 years","Other Non-Epithelial Skin",0.0,0.0,0.0,0.0,3,51194846
"Male","Black","60-64 years","Breast",0.0,0.0,0.0,0.0,10,51194846
"Male","Black","60-64 years","Cervix Uteri",0.0,NA,0.0,0.0,0,51194846
"Male","Black","60-64 years","Corpus Uteri",0.0,NA,0.0,0.0,0,51194846
"Male","Black","60-64 years","Uterus, NOS",0.0,NA,0.0,0.0,0,51194846
"Male","Black","60-64 years","Ovary",0.0,NA,0.0,0.0,0,51194846
"Male","Black","60-64 years","Vagina",0.0,NA,0.0,0.0,0,51194846
"Male","Black","60-64 years","Vulva",0.0,NA,0.0,0.0,0,51194846
"Male","Black","60-64 years","Other Female Genital Organs",0.0,NA,0.0,0.0,0,51194846
"Male","Black","60-64 years","Prostate",2.0,0.1,1.9,2.2,1040,51194846
"Male","Black","60-64 years","Testis",0.0,0.0,0.0,0.0,2,51194846
"Male","Black","60-64 years","Penis",0.0,0.0,0.0,0.0,8,51194846
"Male","Black","60-64 years","Other Male Genital Organs",0.0,NA,0.0,0.0,0,51194846
"Male","Black","60-64 years","Urinary Bladder",0.2,0.0,0.1,0.2,77,51194846
"Male","Black","60-64 years","Kidney and Renal Pelvis",0.2,0.0,0.2,0.2,96,51194846
"Male","Black","60-64 years","Ureter",0.0,0.0,0.0,0.0,3,51194846
"Male","Black","60-64 years","Other Urinary Organs",0.0,0.0,0.0,0.0,3,51194846
"Male","Black","60-64 years","Eye and Orbit",0.0,NA,0.0,0.0,0,51194846
"Male","Black","60-64 years","Brain and Other Nervous System",0.1,0.0,0.0,0.1,31,51194846
"Male","Black","60-64 years","Thyroid",0.0,0.0,0.0,0.0,6,51194846
"Male","Black","60-64 years","Other Endocrine including Thymus",0.0,0.0,0.0,0.0,5,51194846
"Male","Black","60-64 years","Lymphoma",0.2,0.0,0.2,0.2,96,51194846
"Male","Black","60-64 years","Myeloma",0.2,0.0,0.1,0.2,93,51194846
"Male","Black","60-64 years","Leukemia",0.2,0.0,0.1,0.2,78,51194846
"Male","Black","60-64 years","Mesothelioma",0.0,0.0,0.0,0.0,4,51194846
"Male","Black","60-64 years","Kaposi Sarcoma",0.0,0.0,0.0,0.0,5,51194846
"Male","Black","70-74 years","Lip",0.0,0.0,0.0,0.0,2,51194846
"Male","Black","70-74 years","Tongue",0.1,0.0,0.0,0.1,31,51194846
"Male","Black","70-74 years","Salivary Gland",0.0,0.0,0.0,0.0,4,51194846
"Male","Black","70-74 years","Floor of Mouth",0.0,0.0,0.0,0.0,7,51194846
"Male","Black","70-74 years","Gum and Other Mouth",0.0,0.0,0.0,0.0,9,51194846
"Male","Black","70-74 years","Nasopharynx",0.0,0.0,0.0,0.0,2,51194846
"Male","Black","70-74 years","Tonsil",0.0,0.0,0.0,0.0,15,51194846
"Male","Black","70-74 years","Oropharynx",0.0,0.0,0.0,0.0,8,51194846
"Male","Black","70-74 years","Hypopharynx",0.0,0.0,0.0,0.1,21,51194846
"Male","Black","70-74 years","Other Oral Cavity and Pharynx",0.0,0.0,0.0,0.0,6,51194846
"Male","Black","70-74 years","Esophagus",0.2,0.0,0.2,0.3,116,51194846
"Male","Black","70-74 years","Stomach",0.3,0.0,0.2,0.3,149,51194846
"Male","Black","70-74 years","Small Intestine",0.0,0.0,0.0,0.1,22,51194846
"Male","Black","70-74 years","Colon and Rectum",0.9,0.0,0.8,1.0,453,51194846
"Male","Black","70-74 years","Anus, Anal Canal and Anorectum",0.0,0.0,0.0,0.0,10,51194846
"Male","Black","70-74 years","Liver",0.1,0.0,0.1,0.2,74,51194846
"Male","Black","70-74 years","Intrahepatic Bile Duct",0.0,0.0,0.0,0.0,6,51194846
"Male","Black","70-74 years","Gallbladder",0.0,0.0,0.0,0.0,11,51194846
"Male","Black","70-74 years","Other Biliary",0.0,0.0,0.0,0.0,10,51194846
"Male","Black","70-74 years","Pancreas",0.3,0.0,0.2,0.3,146,51194846
"Male","Black","70-74 years","Retroperitoneum",0.0,0.0,0.0,0.0,1,51194846
"Male","Black","70-74 years","Peritoneum, Omentum and Mesentery",0.0,NA,0.0,0.0,0,51194846
"Male","Black","70-74 years","Other Digestive Organs",0.0,0.0,0.0,0.0,7,51194846
"Male","Black","70-74 years","Nose, Nasal Cavity and Middle Ear",0.0,0.0,0.0,0.0,5,51194846
"Male","Black","70-74 years","Larynx",0.1,0.0,0.1,0.2,72,51194846
"Male","Black","70-74 years","Lung and Bronchus",2.1,0.1,2.0,2.2,1074,51194846
"Male","Black","70-74 years","Pleura",0.0,NA,0.0,0.0,0,51194846
"Male","Black","70-74 years","Trachea, Mediastinum and Other Respiratory Organs",0.0,NA,0.0,0.0,0,51194846
"Male","Black","70-74 years","Bones and Joints",0.0,0.0,0.0,0.0,4,51194846
"Male","Black","70-74 years","Soft Tissue including Heart",0.0,0.0,0.0,0.0,15,51194846
"Male","Black","70-74 years","Melanoma of the Skin",0.0,0.0,0.0,0.0,3,51194846
"Male","Black","70-74 years","Other Non-Epithelial Skin",0.0,0.0,0.0,0.0,2,51194846
