Site,Sex,Race,Age,Population,Diagnosis.Count,Diagnosis.Rate,Diagnosis.Lower,Diagnosis.Upper,Death.Count,Death.Rate,Death.Lower,Death.Upper
Brain and Other Nervous System,Female,All,60-64,918696.2,490,5.35e-4,4.8499999999999997e-4,5.85e-4,422,4.5934662622965024e-4,7.505457527744211e-4,7.505457527744211e-4
Brain and Other Nervous System,Female,All,70-74,750127.4,604,8.05e-4,7.4e-4,8.699999999999999e-4,554,7.385412131325959e-4,9.192085651050742e-4,9.192085651050742e-4
Brain and Other Nervous System,Female,Black,50-54,172564.2,42,2.45e-4,1.7499999999999997e-4,3.2999999999999994e-4,28,1.6225845221662429e-4,0,4.689876289520074e-4
Brain and Other Nervous System,Female,Black,60-64,96576.4,30,3.1e-4,2.1000000000000004e-4,4.4500000000000003e-4,20,2.070899308733811e-4,0,0
Brain and Other Nervous System,Female,Black,70-74,66563.6,25,3.7499999999999995e-4,2.45e-4,5.549999999999999e-4,17,2.5539484042329437e-4,0,0
Breast,Male,All,50-54,1482093,91,5.9999999999999995e-5,5e-5,7.500000000000001e-5,34,2.2940530722431047e-5,0,0
Breast,Male,All,60-64,836793,123,1.45e-4,1.2e-4,1.75e-4,62,7.409239800046129e-5,0,0
Breast,Male,All,70-74,592901.4,161,2.7e-4,2.3e-4,3.1499999999999996e-4,108,1.821550767125866e-4,0,0
Breast,Male,Black,50-54,148162.6,11,7.5e-5,3.5e-5,1.35e-4,5,3.3746708008633755e-5,0,0
Breast,Male,Black,60-64,78088,21,2.7e-4,1.65e-4,4.0999999999999994e-4,11,1.4086671447597582e-4,0,0
Breast,Male,Black,70-74,45789.2,14,3.05e-4,1.65e-4,5.15e-4,10,2.1839210992985247e-4,0,0
Breast,Female,All,50-54,1548758.2,19243,0.012425,0.012250000000000002,0.0126,4981,0.003216125021969214,0.0031164740351334375,0.0031164740351334375
Breast,Female,All,60-64,918696.2,17403,0.018945,0.018665,0.019225,6017,0.006549499170672525,0.0067549117749697895,0.0067549117749697895
Breast,Female,All,70-74,750127.4,16750,0.022330000000000003,0.021995,0.022669999999999996,9627,0.012833819961782492,0.012868919911471037,0.012868919911471037
Breast,Female,Black,50-54,172564.2,2077,0.012034999999999997,0.011524999999999999,0.012565,743,0.004305643928462566,0.004220888660568066,0.004689876289520074
Breast,Female,Black,60-64,96576.4,1519,0.015730000000000004,0.014944999999999998,0.01654,651,0.006740777249928554,0.005865960265654964,0.007541948912984954
Breast,Female,Black,70-74,66563.6,1285,0.019305,0.018265,0.02039,722,0.010846769105036385,0.009726694469650079,0.012158368087062598
Cervix Uteri,Male,All,50-54,1482093,0,0,0,0,0,0,0,0
Cervix Uteri,Male,All,60-64,836793,0,0,0,4.9999999999999996e-6,0,0,0,0
Cervix Uteri,Male,All,70-74,592901.4,0,0,0,5e-6,0,0,0,0
Cervix Uteri,Male,Black,50-54,148162.6,0,0,0,2.4999999999999998e-5,0,0,0,0
Cervix Uteri,Male,Black,60-64,78088,0,0,0,4.5e-5,0,0,0,0
Cervix Uteri,Male,Black,70-74,45789.2,0,0,0,8e-5,0,0,0,0
Cervix Uteri,Female,All,50-54,1548758.2,1165,7.5e-4,7.099999999999999e-4,7.950000000000001e-4,509,3.286503987517225e-4,4.45210576447634e-4,4.45210576447634e-4
Cervix Uteri,Female,All,60-64,918696.2,726,7.9e-4,7.350000000000001e-4,8.5e-4,386,4.201606581152725e-4,7.505457527744211e-4,7.505457527744211e-4
Cervix Uteri,Female,All,70-74,750127.4,523,6.950000000000001e-4,6.4e-4,7.599999999999999e-4,361,4.8125158473080705e-4,0,9.192085651050742e-4
Cervix Uteri,Female,Black,50-54,172564.2,151,8.749999999999999e-4,7.4e-4,0.001025,69,3.998511858195384e-4,4.689876289520074e-4,4.689876289520074e-4
Cervix Uteri,Female,Black,60-64,96576.4,133,0.0013750000000000001,0.0011550000000000002,0.0016300000000000002,67,6.937512684258266e-4,8.379943236649949e-4,8.379943236649949e-4
Cervix Uteri,Female,Black,70-74,66563.6,90,0.0013499999999999999,0.0010849999999999998,0.00166,61,9.164167803424093e-4,0.0012158368087062598,0.0012158368087062598
Colon and Rectum,Male,All,50-54,1482093,4482,0.003025,0.002935,0.0031149999999999997,2009,0.0013555154770989405,0.0013617431537697028,0.0013617431537697028
Colon and Rectum,Male,All,60-64,836793,6600,0.007885,0.007699999999999999,0.00808,3662,0.004376231636736923,0.004019771508604876,0.004823725810325852
Colon and Rectum,Male,All,70-74,592901.4,9139,0.015415000000000002,0.015099999999999999,0.015735,6484,0.010936051087077885,0.010211967770695095,0.011346630856327882
Colon and Rectum,Male,Black,50-54,148162.6,600,0.00405,0.0037299999999999994,0.004385,294,0.001984306430907665,0.0015167634207283078,0.002022351227637744
Colon and Rectum,Male,Black,60-64,78088,802,0.01027,0.009569999999999999,0.011005,465,0.005954820202848069,0.0057557527917221595,0.006715044923675853
Colon and Rectum,Male,Black,70-74,45789.2,763,0.016665,0.015500000000000002,0.01789,511,0.011159836817415461,0.009815747468835446,0.01145170538030802
Colon and Rectum,Female,All,50-54,1548758.2,3621,0.0023399999999999996,0.0022600000000000007,0.0024149999999999996,1493,9.639981244328521e-4,8.90421152895268e-4,8.90421152895268e-4
Colon and Rectum,Female,All,60-64,918696.2,4766,0.00519,0.00504,0.005335,2402,0.0026145748725204263,0.002251637258323263,0.0030021830110976843
Colon and Rectum,Female,All,70-74,750127.4,7812,0.010415,0.010185,0.01065,5250,0.00699881113528182,0.0064344599557355185,0.007353668520840594
Colon and Rectum,Female,Black,50-54,172564.2,609,0.0035299999999999997,0.0032549999999999996,0.0038200000000000005,256,0.0014835058488377078,0.0014069628868560223,0.0018759505158080297
Colon and Rectum,Female,Black,60-64,96576.4,713,0.007384999999999999,0.006850000000000001,0.007945,372,0.003851872714244888,0.0033519772946599795,0.004189971618324974
Colon and Rectum,Female,Black,70-74,66563.6,821,0.012334999999999999,0.011504999999999998,0.013205000000000001,528,0.007932263279029378,0.0072950208522375585,0.008510857660943819
Corpus Uteri,Male,All,50-54,1482093,0,0,0,0,0,0,0,0
Corpus Uteri,Male,All,60-64,836793,0,0,0,4.9999999999999996e-6,0,0,0,0
Corpus Uteri,Male,All,70-74,592901.4,0,0,0,5e-6,0,0,0,0
Corpus Uteri,Male,Black,50-54,148162.6,0,0,0,2.4999999999999998e-5,0,0,0,0
Corpus Uteri,Male,Black,60-64,78088,0,0,0,4.5e-5,0,0,0,0
Corpus Uteri,Male,Black,70-74,45789.2,0,0,0,8e-5,0,0,0,0
Corpus Uteri,Female,All,50-54,1548758.2,3186,0.0020550000000000004,0.0019850000000000002,0.0021300000000000004,723,4.6682561551570804e-4,4.45210576447634e-4,4.45210576447634e-4
Corpus Uteri,Female,All,60-64,918696.2,3727,0.004055,0.0039299999999999995,0.00419,1296,0.0014106948521175988,0.0015010915055488421,0.0015010915055488421
Corpus Uteri,Female,All,70-74,750127.4,3232,0.0043100000000000005,0.0041600000000000005,0.00446,1960,0.0026128894905052126,0.002757625695315222,0.002757625695315222
Corpus Uteri,Female,Black,50-54,172564.2,193,0.00112,9.649999999999999e-4,0.00129,73,4.230309647076276e-4,4.689876289520074e-4,4.689876289520074e-4
Corpus Uteri,Female,Black,60-64,96576.4,341,0.0035299999999999997,0.003165,0.0039250000000000005,176,0.0018223913916857535,0.0016759886473299897,0.0025139829709949846
Corpus Uteri,Female,Black,70-74,66563.6,284,0.004265,0.0037849999999999997,0.004795000000000001,186,0.0027943200187489857,0.0024316736174125196,0.0036475104261187792
Esophagus,Male,All,50-54,1482093,731,4.95e-4,4.6e-4,5.3e-4,590,3.9808568018336233e-4,4.539143845899009e-4,4.539143845899009e-4
Esophagus,Male,All,60-64,836793,997,0.00119,0.0011200000000000001,0.00127,826,9.871019475545327e-4,8.039543017209752e-4,8.039543017209752e-4
Esophagus,Male,All,70-74,592901.4,1199,0.00202,0.0019100000000000002,0.00214,1047,0.0017658922714636868,0.0011346630856327881,0.0022693261712655763
Esophagus,Male,Black,50-54,148162.6,145,9.8e-4,8.25e-4,0.00115,112,7.559262593933962e-4,5.05587806909436e-4,0.001011175613818872
Esophagus,Male,Black,60-64,78088,175,0.0022400000000000002,0.0019199999999999998,0.0026,135,0.0017288187685687941,0.0019185842639073867,0.0019185842639073867
Esophagus,Male,Black,70-74,45789.2,141,0.00308,0.00259,0.0036300000000000004,117,0.002555187686179274,0.0016359579114725744,0.003271915822945149
Esophagus,Female,All,50-54,1548758.2,116,7.5e-5,5.9999999999999995e-5,9e-5,93,6.004810821986286e-5,0,0
Esophagus,Female,All,60-64,918696.2,251,2.75e-4,2.4e-4,3.1e-4,202,2.198768210862307e-4,0,0
Esophagus,Female,All,70-74,750127.4,402,5.35e-4,4.8499999999999997e-4,5.9e-4,348,4.6392119525296636e-4,0,9.192085651050742e-4
Esophagus,Female,Black,50-54,172564.2,35,2.0499999999999994e-4,1.4e-4,2.8e-4,29,1.680533969386466e-4,0,4.689876289520074e-4
Esophagus,Female,Black,60-64,96576.4,56,5.800000000000001e-4,4.4000000000000007e-4,7.55e-4,45,4.659523444651074e-4,0,8.379943236649949e-4
Esophagus,Female,Black,70-74,66563.6,63,9.449999999999999e-4,7.25e-4,0.00121,49,7.36138069455378e-4,0,0.0012158368087062598
Eye and Orbit,Male,All,50-54,1482093,102,7e-5,5.500000000000001e-5,8.5e-5,45,3.036246713262933e-5,0,0
Eye and Orbit,Male,All,60-64,836793,87,1.05e-4,8.499999999999999e-5,1.3e-4,47,5.6166817839059364e-5,0,0
Eye and Orbit,Male,All,70-74,592901.4,105,1.75e-4,1.4499999999999997e-4,2.15e-4,79,1.3324306537309576e-4,0,0
Eye and Orbit,Male,Black,50-54,148162.6,1,5e-6,0,4e-5,1,6.749341601726751e-6,0,0
Eye and Orbit,Male,Black,60-64,78088,1,1.4999999999999999e-5,0,7.000000000000001e-5,0,0,0,0
Eye and Orbit,Male,Black,70-74,45789.2,1,2e-5,0,1.2000000000000002e-4,1,2.183921099298525e-5,0,0
Eye and Orbit,Female,All,50-54,1548758.2,64,4e-5,2.9999999999999997e-5,5.5000000000000016e-5,29,1.8724678907269062e-5,0,0
Eye and Orbit,Female,All,60-64,918696.2,74,8.000000000000002e-5,6.5e-5,1e-4,44,4.7893961028683916e-5,0,0
Eye and Orbit,Female,All,70-74,750127.4,71,9.499999999999999e-5,7.5e-5,1.1999999999999998e-4,47,6.265602349680867e-5,0,0
Eye and Orbit,Female,Black,50-54,172564.2,0,0,0,2e-5,0,0,0,0
Eye and Orbit,Female,Black,60-64,96576.4,2,2e-5,5e-6,7.500000000000001e-5,0,0,0,0
Eye and Orbit,Female,Black,70-74,66563.6,0,0,0,5.5e-5,0,0,0,0
Floor of Mouth,Male,All,50-54,1482093,181,1.1999999999999999e-4,1.05e-4,1.4e-4,116,7.826769305300005e-5,0,0
Floor of Mouth,Male,All,60-64,836793,193,2.3e-4,1.9999999999999998e-4,2.65e-4,143,1.7089053087203168e-4,0,0
Floor of Mouth,Male,All,70-74,592901.4,129,2.2e-4,1.8e-4,2.6000000000000003e-4,110,1.855283188739308e-4,0,0
Floor of Mouth,Male,Black,50-54,148162.6,39,2.65e-4,1.85e-4,3.6e-4,25,1.6873354004316878e-4,0,0
Floor of Mouth,Male,Black,60-64,78088,28,3.6e-4,2.3999999999999998e-4,5.2e-4,24,3.073455588566745e-4,0,0
Floor of Mouth,Male,Black,70-74,45789.2,11,2.4000000000000003e-4,1.2000000000000002e-4,4.3000000000000004e-4,7,1.5287447695089672e-4,0,0
Floor of Mouth,Female,All,50-54,1548758.2,37,2.5e-5,1.4999999999999999e-5,3.5e-5,18,1.1622214494167004e-5,0,0
Floor of Mouth,Female,All,60-64,918696.2,70,7.500000000000001e-5,6e-5,9.5e-5,42,4.5716962800107375e-5,0,0
Floor of Mouth,Female,All,70-74,750127.4,69,8.999999999999999e-5,7e-5,1.15e-4,58,7.732019920882772e-5,0,0
Floor of Mouth,Female,Black,50-54,172564.2,4,2.4999999999999998e-5,5e-6,5.9999999999999995e-5,1,5.794944722022296e-6,0,0
Floor of Mouth,Female,Black,60-64,96576.4,9,9.499999999999999e-5,4.5e-5,1.7500000000000003e-4,6,6.212697926201433e-5,0,0
Floor of Mouth,Female,Black,70-74,66563.6,5,7.5e-5,2.4999999999999998e-5,1.75e-4,4,6.0092903629010445e-5,0,0
Gallbladder,Male,All,50-54,1482093,28,2e-5,1.4999999999999999e-5,2.5e-5,23,1.5518594312232768e-5,0,0
Gallbladder,Male,All,60-64,836793,66,7.999999999999999e-5,6e-5,9.999999999999999e-5,59,7.05072819681809e-5,0,0
Gallbladder,Male,All,70-74,592901.4,127,2.15e-4,1.8e-4,2.5499999999999996e-4,110,1.855283188739308e-4,0,0
Gallbladder,Male,Black,50-54,148162.6,2,1.5e-5,0,4.9999999999999996e-5,2,1.3498683203453502e-5,0,0
Gallbladder,Male,Black,60-64,78088,5,6.5e-5,2e-5,1.5000000000000001e-4,3,3.8418194857084316e-5,0,0
Gallbladder,Male,Black,70-74,45789.2,13,2.85e-4,1.5000000000000001e-4,4.85e-4,11,2.402313209228377e-4,0,0
Gallbladder,Female,All,50-54,1548758.2,96,5.9999999999999995e-5,5e-5,7.5e-5,73,4.71345365596773e-5,0,0
Gallbladder,Female,All,60-64,918696.2,168,1.8500000000000002e-4,1.55e-4,2.1500000000000002e-4,141,1.5347837511464618e-4,0,0
Gallbladder,Female,All,70-74,750127.4,248,3.2999999999999994e-4,2.8999999999999995e-4,3.75e-4,216,2.8795108670873773e-4,0,0
Gallbladder,Female,Black,50-54,172564.2,15,8.499999999999999e-5,4.9999999999999996e-5,1.4499999999999997e-4,7,4.056461305415607e-5,0,0
Gallbladder,Female,Black,60-64,96576.4,20,2.05e-4,1.2500000000000003e-4,3.2e-4,15,1.5531744815503582e-4,0,0
Gallbladder,Female,Black,70-74,66563.6,18,2.7e-4,1.5999999999999999e-4,4.25e-4,14,2.1032516270153655e-4,0,0
Gum and Other Mouth,Male,All,50-54,1482093,203,1.35e-4,1.1999999999999999e-4,1.55e-4,129,8.703907244687075e-5,0,0
Gum and Other Mouth,Male,All,60-64,836793,262,3.1499999999999996e-4,2.75e-4,3.55e-4,181,2.163020006142499e-4,0,0
Gum and Other Mouth,Male,All,70-74,592901.4,251,4.25e-4,3.7499999999999995e-4,4.7999999999999996e-4,189,3.1877138424702653e-4,0,0
Gum and Other Mouth,Male,Black,50-54,148162.6,32,2.1499999999999997e-4,1.5e-4,3.0499999999999993e-4,19,1.2823749043280828e-4,0,0
Gum and Other Mouth,Male,Black,60-64,78088,37,4.75e-4,3.3499999999999996e-4,6.55e-4,27,3.4576375371375885e-4,0,9.592921319536934e-4
Gum and Other Mouth,Male,Black,70-74,45789.2,16,3.5e-4,2e-4,5.650000000000001e-4,10,2.1839210992985247e-4,0,0
Gum and Other Mouth,Female,All,50-54,1548758.2,115,7.5e-5,5.9999999999999995e-5,9e-5,44,2.8409857652408235e-5,0,0
Gum and Other Mouth,Female,All,60-64,918696.2,142,1.55e-4,1.3e-4,1.8e-4,94,1.0231891674309746e-4,0,0
Gum and Other Mouth,Female,All,70-74,750127.4,217,2.8999999999999995e-4,2.5e-4,3.2999999999999994e-4,166,2.212957425631966e-4,0,0
Gum and Other Mouth,Female,Black,50-54,172564.2,28,1.6e-4,1.1e-4,2.35e-4,18,1.0430900499640133e-4,0,0
Gum and Other Mouth,Female,Black,60-64,96576.4,14,1.4500000000000003e-4,8e-5,2.4500000000000005e-4,9,9.319046889302149e-5,0,0
Gum and Other Mouth,Female,Black,70-74,66563.6,15,2.25e-4,1.2499999999999998e-4,3.7e-4,11,1.6525548497977872e-4,0,0
Hypopharynx,Male,All,50-54,1482093,147,1e-4,8.5e-5,1.15e-4,112,7.556880708565522e-5,0,0
Hypopharynx,Male,All,60-64,836793,183,2.2e-4,1.8999999999999998e-4,2.55e-4,147,1.7567068558173884e-4,0,0
Hypopharynx,Male,All,70-74,592901.4,209,3.5499999999999996e-4,3.05e-4,4.05e-4,184,3.1033827884366605e-4,0,0
Hypopharynx,Male,Black,50-54,148162.6,38,2.5499999999999996e-4,1.8e-4,3.5e-4,33,2.227282728569828e-4,0,5.05587806909436e-4
Hypopharynx,Male,Black,60-64,78088,36,4.5999999999999996e-4,3.25e-4,6.4e-4,27,3.4576375371375885e-4,0,9.592921319536934e-4
Hypopharynx,Male,Black,70-74,45789.2,29,6.349999999999999e-4,4.2500000000000003e-4,9.1e-4,21,4.586234308526902e-4,0,0
Hypopharynx,Female,All,50-54,1548758.2,48,2.9999999999999997e-5,2.5e-5,4e-5,33,2.1307393239306174e-5,0,0
Hypopharynx,Female,All,60-64,918696.2,48,5e-5,4.000000000000001e-5,7.000000000000001e-5,40,4.353996457153083e-5,0,0
Hypopharynx,Female,All,70-74,750127.4,58,7.5e-5,5.999999999999999e-5,9.999999999999999e-5,55,7.332087856009526e-5,0,0
Hypopharynx,Female,Black,50-54,172564.2,12,7e-5,3.5e-5,1.1999999999999999e-4,10,5.794944722022296e-5,0,0
Hypopharynx,Female,Black,60-64,96576.4,5,5.000000000000001e-5,1.5000000000000002e-5,1.2000000000000002e-4,5,5.1772482718345275e-5,0,0
Hypopharynx,Female,Black,70-74,66563.6,1,1.4999999999999999e-5,0,8.499999999999999e-5,1,1.5023225907252611e-5,0,0
Intrahepatic Bile Duct,Male,All,50-54,1482093,46,2.9999999999999997e-5,2.5e-5,4e-5,44,2.968774564079312e-5,0,0
Intrahepatic Bile Duct,Male,All,60-64,836793,74,8.999999999999999e-5,7.000000000000001e-5,1.1e-4,66,7.887255271016846e-5,0,0
Intrahepatic Bile Duct,Male,All,70-74,592901.4,132,2.25e-4,1.85e-4,2.65e-4,121,2.040811507613239e-4,0,0
Intrahepatic Bile Duct,Male,Black,50-54,148162.6,3,2e-5,5e-6,6e-5,3,2.0248024805180255e-5,0,0
Intrahepatic Bile Duct,Male,Black,60-64,78088,9,1.1499999999999999e-4,5.500000000000001e-5,2.2000000000000003e-4,8,1.0244851961889151e-4,0,0
Intrahepatic Bile Duct,Male,Black,70-74,45789.2,8,1.75e-4,7.500000000000001e-5,3.4500000000000004e-4,6,1.3103526595791148e-4,0,0
Intrahepatic Bile Duct,Female,All,50-54,1548758.2,33,2e-5,1.4999999999999999e-5,2.9999999999999997e-5,26,1.6787643158241227e-5,0,0
Intrahepatic Bile Duct,Female,All,60-64,918696.2,60,6.5e-5,5e-5,8.5e-5,53,5.769045305727835e-5,0,0
Intrahepatic Bile Duct,Female,All,70-74,750127.4,95,1.25e-4,9.999999999999999e-5,1.55e-4,88,1.173134056961524e-4,0,0
Intrahepatic Bile Duct,Female,Black,50-54,172564.2,4,2.4999999999999998e-5,5e-6,5.9999999999999995e-5,3,1.7384834166066887e-5,0,0
Intrahepatic Bile Duct,Female,Black,60-64,96576.4,4,4e-5,1e-5,1.0500000000000002e-4,3,3.1063489631007164e-5,0,0
Intrahepatic Bile Duct,Female,Black,70-74,66563.6,7,1.05e-4,3.9999999999999996e-05,2.1499999999999997e-4,5,7.511612953626305e-5,0,0
Kaposi Sarcoma,Male,All,50-54,1482093,99,6.5e-5,5.500000000000001e-5,8e-5,54,3.64349605591552e-5,0,0
Kaposi Sarcoma,Male,All,60-64,836793,33,3.9999999999999996e-05,2.4999999999999998e-5,5.5e-5,13,1.5535502806548333e-5,0,0
Kaposi Sarcoma,Male,All,70-74,592901.4,49,8.499999999999999e-5,5.9999999999999995e-5,1.1e-4,31,5.228525350083504e-5,0,0
Kaposi Sarcoma,Male,Black,50-54,148162.6,21,1.4e-4,9e-5,2.1499999999999997e-4,17,1.1473880722935477e-4,0,0
Kaposi Sarcoma,Male,Black,60-64,78088,7,9e-5,3.5000000000000004e-5,1.85e-4,5,6.403032476180719e-5,0,0
Kaposi Sarcoma,Male,Black,70-74,45789.2,1,2e-5,0,1.2000000000000002e-4,0,0,0,0
Kaposi Sarcoma,Female,All,50-54,1548758.2,7,5e-6,0,1e-5,4,2.582714332037112e-6,0,0
Kaposi Sarcoma,Female,All,60-64,918696.2,4,5.000000000000001e-6,0,1.0000000000000003e-5,1,1.0884991142882707e-6,0,0
Kaposi Sarcoma,Female,All,70-74,750127.4,11,1.4999999999999997e-5,5e-6,2.4999999999999998e-5,7,9.33174818037576e-6,0,0
Kaposi Sarcoma,Female,Black,50-54,172564.2,3,1.4999999999999999e-5,5e-6,4.9999999999999996e-5,2,1.1589889444044592e-5,0,0
Kaposi Sarcoma,Female,Black,60-64,96576.4,1,1e-5,0,6.000000000000001e-5,1,1.0354496543669054e-5,0,0
Kaposi Sarcoma,Female,Black,70-74,66563.6,0,0,0,5.5e-5,0,0,0,0
Kidney and Renal Pelvis,Male,All,50-54,1482093,1796,0.00121,0.001155,0.00127,867,5.849835334219918e-4,4.539143845899009e-4,4.539143845899009e-4
Kidney and Renal Pelvis,Male,All,60-64,836793,2269,0.00271,0.0026,0.002825,1269,0.0015165040816546027,0.0016079086034419504,0.0016079086034419504
Kidney and Renal Pelvis,Male,All,70-74,592901.4,2387,0.004025,0.0038649999999999995,0.004189999999999999,1653,0.0027879846463509782,0.0022693261712655763,0.0034039892568983646
Kidney and Renal Pelvis,Male,Black,50-54,148162.6,230,0.00155,0.0013599999999999997,0.0017649999999999999,114,7.694249425968496e-4,5.05587806909436e-4,0.001011175613818872
Kidney and Renal Pelvis,Male,Black,60-64,78088,235,0.00301,0.0026349999999999998,0.0034200000000000003,119,0.001523921729331011,9.592921319536934e-4,0.0019185842639073867
Kidney and Renal Pelvis,Male,Black,70-74,45789.2,201,0.004390000000000001,0.0038050000000000002,0.00504,121,0.0026425445301512147,0.0016359579114725744,0.003271915822945149
Kidney and Renal Pelvis,Female,All,50-54,1548758.2,924,5.95e-4,5.6e-4,6.349999999999999e-4,342,2.208220753891731e-4,0,4.45210576447634e-4
Kidney and Renal Pelvis,Female,All,60-64,918696.2,1039,0.0011300000000000001,0.001065,0.0012000000000000001,549,5.975860137442606e-4,7.505457527744211e-4,7.505457527744211e-4
Kidney and Renal Pelvis,Female,All,70-74,750127.4,1424,0.0019,0.0017999999999999997,0.002,986,0.0013144433865500712,9.192085651050742e-4,0.0018384171302101484
Kidney and Renal Pelvis,Female,Black,50-54,172564.2,130,7.549999999999999e-4,6.299999999999999e-4,8.949999999999999e-4,54,3.12927014989204e-4,4.689876289520074e-4,4.689876289520074e-4
Kidney and Renal Pelvis,Female,Black,60-64,96576.4,123,0.001275,0.0010600000000000002,0.0015199999999999999,65,6.730422753384886e-4,8.379943236649949e-4,8.379943236649949e-4
Kidney and Renal Pelvis,Female,Black,70-74,66563.6,152,0.002285,0.0019349999999999999,0.0026749999999999994,103,0.001547392268447019,0.0012158368087062598,0.0024316736174125196
Larynx,Male,All,50-54,1482093,717,4.85e-4,4.5000000000000004e-4,5.2e-4,414,2.793346976201898e-4,4.539143845899009e-4,4.539143845899009e-4
